year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2019, LG, 30, 0, 0, 29, 14, 12, 0, 0, 180.1, 70, 51, 747, 164, 3, 7, 41, 0, 16, 126, 0, 12, 2.55, 3.46, 1.14, 160.6
2020, LG, 31, 1, 1, 28, 15, 7, 0, 0, 173.1, 67, 64, 705, 160, 1, 16, 40, 0, 11, 134, 0, 4, 3.32, 4.09, 1.15, 139.3
2021, LG, 32, 0, 0, 30, 13, 8, 0, 0, 177.0, 64, 62, 744, 160, 0, 12, 60, 3, 11, 142, 1, 7, 3.15, 3.76, 1.24, 136.8
2022, LG, 33, 0, 0, 6, 4, 1, 0, 0, 33.2, 18, 15, 142, 37, 1, 3, 8, 0, 1, 31, 0, 2, 4.01, 3.34, 1.34, 88.9
year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2015, SK, 27, 1, 0, 29, 11, 10, 0, 0, 181.0, 87, 83, 775, 188, 1, 16, 54, 1, 5, 139, 2, 9, 4.13, 4.19, 1.34, 117.0
2016, SK, 28, 0, 0, 31, 9, 8, 0, 0, 200.1, 91, 82, 846, 205, 3, 15, 60, 0, 7, 152, 2, 8, 3.68, 4.25, 1.32, 141.7
2017, SK, 29, 0, 0, 30, 16, 7, 0, 0, 190.0, 85, 76, 815, 204, 3, 16, 45, 2, 11, 189, 1, 9, 3.60, 3.69, 1.31, 139.8
2018, SK, 30, 0, 0, 28, 12, 7, 0, 0, 158.1, 78, 72, 674, 152, 3, 18, 47, 1, 13, 161, 2, 5, 4.09, 4.40, 1.26, 128.5
