year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2012, 넥센, 19, 0, 0, 4, 3, 4, 0, 7, 69.1, 26, 24, 281, 54, , 4, 22, 0, 11, 54, 0, 3, 3.12, 3.72, 1.10, 123.0
2013, 넥센, 20, 0, 0, 0, 5, 0, 1, 27, 67.1, 27, 24, 287, 64, , 7, 25, 0, 8, 56, 0, 4, 3.21, 4.51, 1.32, 135.8
2014, 넥센, 21, 0, 0, 0, 4, 2, 2, 31, 78.2, 30, 28, 342, 75, 1, 6, 31, 1, 4, 83, 0, 2, 3.20, 4.03, 1.35, 164.6
2015, 넥센, 22, 0, 0, 17, 11, 4, 0, 10, 123.1, 70, 66, 542, 126, 2, 14, 41, 0, 13, 122, 1, 3, 4.82, 4.43, 1.35, 103.3
2017, 넥센, 24, 0, 0, 13, 5, 6, 5, 5, 106.2, 61, 53, 457, 105, 2, 14, 17, 0, 17, 79, 0, 3, 4.47, 4.92, 1.14, 111.2
2018, 넥센, 25, 0, 0, 28, 11, 7, 0, 0, 169.0, 98, 90, 756, 208, 3, 22, 49, 0, 20, 105, 0, 6, 4.79, 5.51, 1.52, 107.5
2019, 키움, 26, 0, 0, 0, 7, 5, 0, 24, 58.0, 26, 22, 251, 50, 1, 1, 20, 1, 7, 49, 1, 2, 3.41, 3.28, 1.21, 121.0
2020, 키움, 27, 0, 0, 25, 7, 9, 0, 0, 135.2, 77, 75, 587, 141, 1, 10, 37, 2, 14, 109, 2, 3, 4.98, 3.99, 1.31, 94.8
2021, 키움, 28, 0, 0, 15, 6, 2, 0, 1, 85.2, 42, 37, 372, 86, 0, 4, 30, 0, 6, 61, 0, 3, 3.89, 3.78, 1.35, 114.1
2022, 키움, 29, 0, 0, 1, 0, 1, 0, 0, 5.0, 12, 11, 32, 10, 0, 1, 4, 0, 1, 5, 0, 1, 19.80, 6.82, 2.80, 18.6
