year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, 두산, 18, 0, 0, 0, 0, 0, 0, 0, 1.1, 5, 5, 12, 6, , 0, 2, 0, 0, 2, 0, 2, 33.75, 4.85, 6.00, 12.6
2014, 두산, 19, 0, 0, 0, 1, 0, 0, 2, 26.1, 13, 13, 111, 24, 0, 2, 12, 0, 1, 23, 0, 2, 4.44, 4.58, 1.37, 111.3
2015, 두산, 20, 0, 0, 0, 7, 2, 2, 16, 61.2, 30, 25, 278, 52, 1, 4, 46, 1, 2, 76, 1, 2, 3.65, 4.28, 1.59, 128.5
2016, 두산, 21, 0, 0, 0, 0, 0, 0, 0, 8.2, 6, 6, 46, 10, 0, 0, 11, 1, 0, 7, 0, 2, 6.23, 5.64, 2.42, 82.0
2017, 두산, 22, 0, 0, 24, 9, 8, 0, 2, 137.1, 61, 56, 598, 128, 1, 8, 64, 2, 4, 139, 1, 3, 3.67, 3.91, 1.40, 131.2
2018, 두산, 23, 0, 0, 0, 6, 3, 27, 3, 67.0, 23, 22, 293, 58, 1, 4, 37, 3, 4, 75, 0, 4, 2.96, 4.07, 1.42, 171.0
2019, 두산, 24, 0, 0, 0, 2, 5, 16, 7, 54.2, 24, 21, 236, 39, 1, 6, 34, 4, 1, 48, 0, 2, 3.46, 4.77, 1.34, 118.2
2020, 두산, 25, 0, 0, 6, 5, 1, 10, 2, 55.1, 25, 24, 240, 55, 0, 2, 21, 2, 0, 55, 0, 7, 3.90, 3.07, 1.37, 118.7
2021, LG, 26, 0, 0, 3, 1, 2, 0, 1, 21.0, 11, 10, 98, 20, 1, 2, 13, 1, 3, 18, 0, 2, 4.29, 5.00, 1.57, 100.6
2022, LG, 27, 0, 0, 0, 0, 0, 0, 0, 12.2, 3, 3, 58, 9, 0, 0, 11, 0, 1, 13, 0, 0, 2.13, 4.01, 1.58, 167.2
