year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 두산, 19, 0, 0, 25, 9, 6, 0, 3, 117.0, 75, 68, 527, 114, , 21, 71, 0, 4, 96, 0, 8, 5.23, 5.80, 1.58, 90.8
2010, 두산, 20, 0, 0, 14, 4, 3, 0, 1, 96.2, 74, 69, 436, 102, , 17, 49, 0, 5, 86, 0, 8, 6.42, 5.47, 1.56, 70.8
2011, 두산, 21, 0, 0, 4, 0, 1, 0, 0, 21.1, 16, 15, 96, 26, , 6, 10, 0, 2, 5, 1, 1, 6.33, 8.07, 1.69, 64.7
2012, 두산, 22, 0, 0, 0, 5, 2, 1, 22, 65.1, 18, 14, 260, 35, , 2, 29, 3, 2, 69, 0, 2, 1.93, 2.68, 0.98, 198.4
2013, 두산, 23, 0, 0, 0, 5, 4, 5, 9, 72.0, 22, 20, 309, 51, , 8, 45, 0, 2, 77, 0, 9, 2.50, 4.61, 1.33, 170.1
2014, 두산, 24, 0, 0, 3, 0, 3, 0, 1, 21.0, 21, 20, 109, 26, 2, 4, 20, 0, 2, 17, 1, 5, 8.57, 7.86, 2.19, 57.7
2016, 두산, 26, 0, 0, 0, 0, 1, 5, 1, 12.0, 7, 7, 54, 12, 0, 0, 9, 0, 0, 17, 0, 0, 5.25, 3.21, 1.75, 97.4
2017, 두산, 27, 0, 0, 2, 1, 1, 0, 0, 17.0, 17, 15, 84, 20, 3, 2, 11, 0, 2, 7, 0, 0, 7.94, 6.74, 1.82, 60.6
2018, 두산, 28, 0, 0, 0, 1, 0, 0, 0, 14.2, 7, 7, 66, 13, 1, 1, 12, 1, 2, 13, 0, 5, 4.30, 5.61, 1.71, 117.7
2019, 두산, 29, 0, 0, 1, 0, 0, 0, 0, 5.2, 3, 3, 26, 5, 0, 1, 4, 0, 1, 5, 0, 5, 4.76, 6.58, 1.59, 85.8
2020, KIA, 30, 0, 0, 0, 4, 5, 0, 17, 48.0, 27, 27, 229, 32, 0, 5, 54, 0, 3, 61, 0, 8, 5.06, 5.93, 1.79, 94.8
2021, KIA, 31, 0, 0, 0, 4, 1, 0, 12, 36.0, 19, 19, 160, 33, 0, 6, 19, 2, 3, 33, 0, 3, 4.75, 5.33, 1.44, 93.6
2022, KIA, 32, 0, 0, 0, 0, 1, 0, 1, 11.0, 5, 4, 49, 11, 0, 0, 4, 0, 0, 9, 0, 1, 3.27, 2.67, 1.36, 111.0
