,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 빙그레,22,70,148,135,23,39,11,0,5,65,24,1,3,1,1,24,3,1,0,0.289,0.34700000000000003,0.481,0.828,0.383,136.3,1.31
1,1,1, 빙그레,23,113,429,356,67,100,24,1,12,162,49,16,6,4,0,72,3,17,5,0.281,0.3670000000000001,0.455,0.8220000000000001,0.368,124.3,3.78
2,2,2, 빙그레,24,126,523,465,72,128,21,4,11,190,57,17,10,9,1,53,11,6,3,0.275,0.342,0.409,0.7509999999999999,0.345,111.0,3.61
3,3,3, 빙그레,25,109,430,393,57,101,21,5,12,168,54,9,5,3,2,46,13,4,2,0.257,0.31,0.4270000000000001,0.737,0.328,94.2,2.07
4,4,4, 빙그레,26,76,296,269,33,67,16,1,9,112,38,12,6,5,0,48,8,2,4,0.249,0.299,0.416,0.716,0.331,113.9,2.11
5,5,5, 한화,27,46,175,150,24,34,8,0,3,51,13,5,6,7,0,23,7,4,0,0.227,0.322,0.34,0.662,0.308,92.7,0.62
6,6,6, 한화,28,81,279,257,33,63,10,3,4,91,16,12,3,2,1,33,8,3,2,0.245,0.29,0.354,0.644,0.292,85.1,1.2
7,7,7, 한화,29,113,404,357,44,102,15,2,4,133,49,18,10,6,1,53,12,9,2,0.28600000000000003,0.349,0.373,0.722,0.33,109.4,2.65
8,8,8, 한화,30,123,506,447,66,144,19,4,7,192,34,17,9,7,1,40,9,10,5,0.322,0.379,0.43,0.809,0.362,126.6,4.47
9,9,9, 한화,31,125,510,471,58,130,23,5,6,181,42,20,7,12,2,51,12,10,1,0.276,0.316,0.384,0.7,0.31,91.5,2.5
10,10,10, 한화,32,130,496,433,65,131,22,2,5,172,42,24,10,16,5,56,16,10,4,0.303,0.37,0.397,0.768,0.34,96.6,2.52
11,11,11, 한화,33,123,487,433,57,124,24,2,7,173,49,15,8,10,2,61,18,5,5,0.28600000000000003,0.349,0.4,0.748,0.335,96.5,2.35
12,12,12, 한화,34,120,450,407,44,106,18,1,2,132,45,19,9,4,1,68,9,9,1,0.26,0.315,0.324,0.64,0.29600000000000004,65.5,0.55
13,13,13, 한화,35,94,266,242,27,70,11,1,6,101,28,7,3,2,0,51,9,1,1,0.289,0.34700000000000003,0.417,0.765,0.342,109.1,1.72
14,14,14, 한화,36,8,19,18,0,3,2,0,0,5,3,0,0,0,0,5,1,0,0,0.16699999999999998,0.211,0.278,0.488,0.223,20.8,-0.09
