,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, OB,23,83,173,151,18,37,7,1,2,52,21,4,4,1,0,25,3,3,5,0.245,0.29600000000000004,0.344,0.64,0.29100000000000004,79.9,0.47
1,1,1.0, OB,24,91,179,165,23,51,4,0,1,58,15,9,9,0,0,14,0,5,2,0.309,0.333,0.35200000000000004,0.685,0.314,92.1,0.67
2,2,2.0, OB,25,101,307,256,21,63,10,0,1,76,23,6,10,1,3,25,3,17,2,0.246,0.32299999999999995,0.297,0.62,0.279,73.7,0.44
3,3,3.0, OB,26,102,398,342,59,112,9,7,2,141,17,13,8,2,1,24,2,10,1,0.327,0.403,0.412,0.815,0.378,136.6,4.06
4,4,4.0, OB,27,101,355,311,45,97,21,4,2,132,28,8,8,1,2,31,3,11,2,0.312,0.3720000000000001,0.424,0.797,0.35700000000000004,121.2,2.76
5,5,5.0, OB,28,72,235,211,29,58,6,5,1,77,13,14,4,0,1,22,3,4,1,0.275,0.333,0.365,0.698,0.327,99.4,1.51
6,6,6.0, OB,29,82,217,188,16,31,6,3,1,46,21,1,4,1,1,26,4,6,2,0.165,0.246,0.245,0.491,0.232,31.2,-0.74
7,7,7.0, OB,30,108,413,361,49,111,19,6,3,151,36,20,6,1,1,46,4,12,2,0.307,0.3720000000000001,0.418,0.79,0.35700000000000004,119.8,3.63
8,8,8.0, OB,31,119,427,383,45,110,16,3,1,135,31,13,6,3,2,38,2,6,4,0.287,0.341,0.35200000000000004,0.693,0.318,87.1,1.75
9,9,9.0, OB,32,117,492,430,49,129,18,3,3,162,32,13,8,2,5,34,3,15,5,0.3,0.359,0.377,0.735,0.334,117.1,3.67
10,10,10.0, 쌍방울,33,119,444,388,56,93,15,4,4,128,31,20,7,1,0,49,5,15,0,0.24,0.311,0.33,0.6409999999999999,0.292,81.5,1.72
11,11,11.0, 쌍방울,34,119,489,419,60,141,17,1,7,181,49,16,10,5,3,37,8,11,6,0.337,0.406,0.4320000000000001,0.838,0.376,143.9,5.06
12,12,12.0, 쌍방울,35,126,509,449,69,136,19,6,2,173,49,15,4,3,1,63,8,7,3,0.303,0.368,0.385,0.753,0.34600000000000003,120.1,4.38
13,13,13.0, 쌍방울|현대,36,117,396,346,43,101,14,5,2,131,32,9,9,1,1,44,3,6,3,0.292,0.363,0.379,0.741,0.337,109.1,2.51
14,14,14.0, 현대,36,78,308,272,36,81,10,4,2,105,27,8,6,1,1,38,2,3,1,0.298,0.368,0.386,0.755,0.344,114.5,2.11
15,15,15.0, 쌍방울,36,39,88,74,7,20,4,1,0,26,5,1,3,0,0,6,1,3,2,0.27,0.341,0.35100000000000003,0.693,0.31,90.4,0.28
16,16,16.0, 현대,37,102,266,216,26,55,8,2,3,76,21,4,3,2,2,37,4,16,1,0.255,0.34700000000000003,0.35200000000000004,0.6990000000000001,0.299,83.7,0.45
17,17,17.0, 쌍방울,38,71,162,144,11,33,5,0,0,38,12,5,1,1,1,22,3,1,2,0.229,0.298,0.264,0.562,0.263,45.1,-0.19
