,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 청보,22,87,253,230,20,57,14,1,10,103,26,1,2,3,0,48,8,1,0,0.248,0.314,0.448,0.7609999999999999,0.35600000000000004,130.0,2.53
1,1,1, 청보,23,105,414,350,47,97,21,0,9,145,48,3,5,4,2,55,7,8,1,0.277,0.374,0.414,0.789,0.3670000000000001,127.2,4.0
2,2,2, 태평양,24,62,248,212,41,76,18,1,10,126,39,3,0,5,4,27,3,1,2,0.358,0.441,0.594,1.036,0.461,191.9,4.56
3,3,3, 태평양,25,120,489,399,61,100,25,1,11,160,59,7,9,7,8,86,8,2,4,0.251,0.378,0.401,0.779,0.3670000000000001,126.7,4.71
4,4,4, 태평양,26,114,394,336,52,84,20,1,14,148,46,5,3,5,3,58,6,5,0,0.25,0.35200000000000004,0.44,0.7929999999999999,0.365,123.0,3.86
5,5,5, 태평양,27,98,333,286,37,75,9,1,7,107,34,9,4,4,4,50,8,5,1,0.262,0.354,0.374,0.728,0.335,104.4,2.57
6,6,6, 태평양,28,107,391,333,53,98,15,2,15,162,58,2,1,7,1,59,13,5,0,0.294,0.391,0.486,0.878,0.394,138.0,4.51
7,7,7, 태평양,29,93,364,315,33,77,22,1,3,110,34,1,3,6,1,67,16,2,1,0.244,0.34,0.349,0.6890000000000001,0.328,111.9,2.78
8,8,8, 태평양,30,119,421,368,49,97,16,0,15,158,50,3,6,12,4,74,15,3,0,0.264,0.35200000000000004,0.429,0.7809999999999999,0.35700000000000004,126.1,3.92
9,9,9, 태평양,31,66,200,173,16,30,4,1,9,63,28,1,0,5,1,38,7,3,1,0.173,0.269,0.364,0.633,0.285,80.5,0.91
10,10,10, 현대,32,48,114,99,13,21,2,0,5,38,13,0,1,2,0,21,3,0,1,0.212,0.307,0.384,0.691,0.321,102.5,0.76
