,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, LG,22,110,416,352,46,102,20,1,13,163,62,15,10,10,1,40,6,2,7,0.29,0.379,0.463,0.8420000000000001,0.39,140.6,4.89
1,1,1, LG,23,90,294,255,29,50,8,3,5,79,24,5,6,8,0,38,4,2,3,0.196,0.28800000000000003,0.31,0.598,0.28300000000000003,68.0,0.86
2,2,2, LG,24,121,433,381,47,98,15,4,20,181,69,3,2,5,4,45,10,1,1,0.257,0.343,0.475,0.818,0.363,118.4,4.0
3,3,3, LG,25,115,427,372,47,102,16,3,16,172,56,7,0,6,3,40,11,3,5,0.274,0.35100000000000003,0.462,0.8140000000000001,0.373,146.5,5.48
4,4,4, LG,26,95,369,316,45,91,20,3,6,135,42,4,4,5,3,39,6,4,1,0.28800000000000003,0.381,0.4270000000000001,0.8079999999999999,0.37,136.6,4.16
5,5,5, LG,27,108,393,334,40,87,15,2,10,136,35,4,0,4,3,45,8,11,4,0.26,0.343,0.407,0.75,0.332,114.0,3.47
6,6,6, LG,28,108,385,330,43,81,11,0,12,128,50,0,4,10,1,36,9,9,3,0.245,0.33,0.388,0.718,0.326,106.2,2.73
7,7,7, LG,29,121,472,394,54,93,26,0,17,170,66,2,2,9,4,70,6,7,8,0.236,0.336,0.431,0.767,0.337,109.9,3.77
8,8,8, LG,30,118,471,408,67,116,28,2,20,208,66,2,3,9,2,71,8,4,6,0.284,0.362,0.51,0.872,0.378,140.5,5.5
9,9,9, LG,31,104,389,334,55,96,22,1,16,168,65,1,3,10,2,46,7,3,3,0.287,0.376,0.503,0.879,0.378,122.8,3.67
10,10,10, 삼성,32,90,238,200,23,41,9,1,11,85,30,0,2,4,2,43,7,0,3,0.205,0.319,0.425,0.7440000000000001,0.327,90.8,1.27
11,11,11, 삼성,33,89,217,181,18,50,11,0,5,76,30,0,0,4,0,23,5,6,4,0.276,0.36,0.42,0.78,0.34700000000000003,98.7,1.41
12,12,12, SK,34,95,299,251,28,61,10,2,11,108,32,1,1,9,1,51,4,14,3,0.243,0.32299999999999995,0.43,0.753,0.316,91.3,1.76
13,13,13, 현대,35,117,441,367,48,113,15,1,16,178,68,3,4,8,5,57,10,15,6,0.308,0.39,0.485,0.875,0.375,125.6,4.27
14,14,14, 현대,36,113,381,311,38,78,13,1,2,99,31,2,2,13,0,42,10,21,4,0.251,0.342,0.318,0.66,0.3,73.5,1.37
15,15,15, 현대,37,96,318,274,24,60,4,2,10,98,30,2,1,5,0,56,2,18,1,0.219,0.28300000000000003,0.358,0.6409999999999999,0.279,63.5,0.83
16,16,16, 현대,38,115,391,333,38,93,12,0,5,120,40,3,1,8,3,39,10,17,4,0.279,0.348,0.36,0.708,0.318,99.1,2.6
17,17,17, 현대,39,111,356,306,22,85,18,0,4,115,39,2,4,1,2,19,6,16,7,0.278,0.329,0.376,0.705,0.312,87.5,1.73
18,18,18, 히어로즈,40,94,180,159,15,38,7,2,1,52,23,0,0,1,0,15,4,3,2,0.239,0.305,0.327,0.632,0.29600000000000004,73.9,0.69
19,19,19, 히어로즈,41,29,70,57,14,21,6,0,2,33,13,0,0,1,0,6,0,2,1,0.368,0.456,0.579,1.035,0.443,162.5,1.01
