,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 롯데,23,60,126,113,9,29,9,0,0,38,9,0,1,0,1,14,0,1,0,0.257,0.328,0.336,0.664,0.311,93.6,0.62
1,1,1, 롯데,24,67,125,118,9,33,6,1,1,44,10,0,2,1,0,18,1,1,1,0.28,0.307,0.373,0.679,0.314,91.8,0.17
2,2,2, 롯데,25,93,306,279,22,65,12,2,4,93,29,3,3,2,0,31,10,5,1,0.233,0.28600000000000003,0.333,0.619,0.29100000000000004,82.5,1.22
3,3,3, 롯데,26,104,397,337,36,89,15,2,4,120,50,9,2,2,6,36,7,3,5,0.264,0.358,0.35600000000000004,0.7140000000000001,0.336,105.5,1.57
4,4,4, 롯데,27,101,417,356,55,115,17,0,14,174,64,6,2,2,6,41,4,0,4,0.32299999999999995,0.413,0.489,0.901,0.411,157.3,4.07
5,5,5, 롯데,28,115,429,357,40,104,24,2,4,144,49,3,3,1,13,42,5,3,2,0.29100000000000004,0.401,0.403,0.805,0.374,131.3,2.71
6,6,6, 롯데,29,79,328,288,44,90,19,5,8,143,45,7,2,4,5,33,6,1,1,0.313,0.391,0.4970000000000001,0.888,0.407,150.4,3.13
7,7,7, 롯데,30,111,419,363,66,110,23,5,20,203,68,1,1,1,6,38,7,1,3,0.303,0.388,0.5589999999999999,0.947,0.42,160.2,4.32
8,8,8, 롯데,31,118,495,413,69,133,28,4,16,217,88,5,2,6,4,76,10,0,8,0.322,0.418,0.525,0.944,0.421,155.3,4.84
9,9,9, 롯데,32,110,404,339,44,75,17,1,11,127,62,6,4,3,4,62,8,3,1,0.221,0.339,0.375,0.7140000000000001,0.335,116.3,1.84
10,10,10, 롯데,33,117,493,439,58,130,34,2,15,213,78,21,3,3,7,84,10,2,5,0.29600000000000004,0.361,0.485,0.846,0.378,140.7,4.23
11,11,11, 롯데,34,88,310,284,29,61,15,3,5,97,39,2,2,0,1,67,9,0,6,0.215,0.261,0.342,0.603,0.273,72.8,-0.43
12,12,12, 롯데,35,44,109,93,7,16,2,0,4,30,15,1,1,2,1,18,0,3,1,0.172,0.264,0.32299999999999995,0.5870000000000001,0.264,63.7,0.17
