,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,23,103,309,279,41,76,13,2,10,123,31,6,3,2,2,52,5,12,1,0.272,0.313,0.441,0.754,0.329,106.9,1.97
1,1,1, 삼성,24,34,100,92,17,28,4,0,2,38,13,3,0,2,0,12,2,3,1,0.304,0.33,0.413,0.743,0.33,111.7,0.74
2,2,2, 삼성,25,30,59,54,7,10,0,0,0,10,1,1,0,1,0,21,2,1,0,0.185,0.241,0.185,0.4270000000000001,0.208,25.4,-0.19
3,3,3, 삼성,26,124,524,466,57,136,27,1,9,192,68,9,9,7,4,79,6,13,2,0.292,0.35,0.412,0.762,0.338,109.7,3.23
4,4,4, 삼성,27,126,503,463,65,139,24,1,15,210,80,5,3,6,1,70,19,9,6,0.3,0.332,0.454,0.7859999999999999,0.342,113.6,3.44
5,5,5, 삼성,28,128,551,497,87,169,36,1,18,261,88,7,6,13,4,73,12,1,7,0.34,0.391,0.525,0.916,0.397,133.6,5.09
6,6,6, 삼성,29,126,519,464,54,122,26,1,7,171,57,8,5,13,0,73,7,6,6,0.263,0.322,0.369,0.69,0.312,80.8,1.51
7,7,7, 삼성,30,117,478,427,59,133,29,2,13,205,61,3,2,13,3,57,11,2,8,0.311,0.366,0.48,0.846,0.376,117.1,3.51
8,8,8, 삼성,31,127,541,486,69,151,23,1,17,227,76,4,2,14,2,61,15,2,4,0.311,0.371,0.467,0.838,0.37,128.5,4.68
9,9,9, 삼성,32,131,532,478,67,141,23,1,17,217,70,5,2,17,0,57,20,4,4,0.295,0.354,0.454,0.8079999999999999,0.361,116.2,3.85
10,10,10, 삼성,33,133,558,498,60,135,30,1,16,215,84,1,2,20,2,79,23,6,4,0.271,0.335,0.4320000000000001,0.767,0.34600000000000003,104.2,3.04
11,11,11, 삼성,34,114,465,406,55,119,18,0,15,182,73,1,0,18,3,68,9,3,3,0.293,0.3720000000000001,0.448,0.821,0.3720000000000001,126.9,2.69
12,12,12, 삼성,35,103,396,343,41,87,15,0,7,123,54,6,3,15,0,54,12,2,4,0.254,0.34,0.359,0.6990000000000001,0.331,107.9,1.39
13,13,13, 삼성,36,101,317,289,25,68,11,1,3,90,26,0,2,7,0,44,6,2,5,0.235,0.28300000000000003,0.311,0.594,0.279,64.0,-0.58
