,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,25,88,279,241,26,57,9,0,7,87,39,0,3,9,1,29,4,2,1,0.237,0.332,0.361,0.693,0.325,105.5,0.58
1,1,1, 삼성,26,92,267,220,28,61,11,1,3,83,23,5,3,11,3,21,3,0,1,0.277,0.401,0.377,0.778,0.369,135.1,1.65
2,2,2, 삼성,27,88,149,131,16,38,7,0,8,69,29,1,1,4,1,13,2,2,3,0.29,0.34700000000000003,0.527,0.8740000000000001,0.387,143.2,1.02
3,3,3, 삼성,28,93,204,182,15,50,12,1,4,76,33,4,1,3,0,24,6,1,0,0.275,0.35,0.418,0.767,0.362,135.1,1.28
4,4,4, 삼성,29,82,222,189,26,54,10,0,4,76,35,1,2,7,4,15,3,0,2,0.28600000000000003,0.383,0.402,0.785,0.37,129.3,1.29
5,5,5, 삼성,30,70,216,198,21,57,9,1,7,89,34,2,1,4,0,23,3,3,1,0.28800000000000003,0.333,0.449,0.7829999999999999,0.355,119.0,0.92
6,6,6, 삼성,31,96,333,299,41,87,15,1,12,140,49,3,1,2,6,39,3,0,2,0.29100000000000004,0.35700000000000004,0.468,0.826,0.381,135.4,2.1
7,7,7, 삼성,32,110,456,398,64,122,17,1,20,201,75,3,1,3,4,45,12,0,5,0.307,0.384,0.505,0.889,0.408,150.4,3.68
8,8,8, 삼성,33,106,370,302,37,74,21,0,10,125,65,0,3,3,4,29,10,2,7,0.245,0.361,0.414,0.775,0.354,116.9,1.27
9,9,9, 삼성,34,91,306,265,34,75,14,0,10,119,45,1,2,4,4,26,6,0,4,0.28300000000000003,0.366,0.449,0.815,0.3670000000000001,119.7,1.72
10,10,10, 삼성,35,31,65,60,4,10,0,0,2,16,5,0,0,1,2,9,1,0,0,0.16699999999999998,0.231,0.267,0.4970000000000001,0.227,39.0,-0.35
