,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 현대,23,126,547,481,75,142,29,4,30,269,108,36,17,7,7,107,7,0,6,0.295,0.369,0.5589999999999999,0.929,0.411,166.2,7.5
1,1,1, 현대,24,96,403,331,77,108,16,0,27,205,69,22,14,4,10,59,5,0,2,0.326,0.442,0.619,1.061,0.458,193.7,6.65
2,2,2, 현대,25,119,507,428,86,114,25,2,30,233,84,43,19,9,7,83,13,0,4,0.266,0.373,0.544,0.917,0.395,151.3,5.24
3,3,3, 현대,26,129,572,482,83,142,27,1,24,243,98,17,13,6,6,85,10,0,5,0.295,0.397,0.504,0.901,0.391,131.0,4.06
4,4,4, 현대,27,132,572,489,101,151,31,5,32,288,115,30,14,7,5,77,15,0,12,0.309,0.388,0.589,0.977,0.415,150.7,6.75
5,5,5, 현대,28,127,570,489,75,139,20,3,18,219,80,7,7,2,2,86,12,0,5,0.284,0.377,0.448,0.825,0.375,117.1,2.18
6,6,6, 현대,29,112,481,432,57,120,24,0,15,189,67,12,8,4,2,94,10,0,4,0.278,0.343,0.438,0.7809999999999999,0.345,111.6,3.12
7,7,7, KIA,30,108,461,392,71,118,15,5,19,200,66,14,9,1,1,84,11,6,2,0.301,0.393,0.51,0.904,0.397,141.0,4.03
8,8,8, KIA,31,73,226,186,29,47,9,1,7,79,29,7,5,0,2,37,8,2,3,0.253,0.366,0.425,0.7909999999999999,0.35700000000000004,112.0,1.09
9,9,9, SK,32,109,495,421,76,128,21,1,18,205,63,22,10,2,2,78,10,2,3,0.304,0.4,0.487,0.887,0.4,147.4,5.51
10,10,10, SK,33,124,529,452,61,117,22,1,18,195,73,22,8,6,4,87,13,2,6,0.259,0.353,0.431,0.784,0.36,129.7,4.8
11,11,11, SK,34,115,400,347,53,97,19,1,17,169,54,10,7,4,6,52,5,1,7,0.28,0.35600000000000004,0.487,0.843,0.377,133.9,2.98
12,12,12, SK,35,112,471,396,66,126,26,2,19,213,72,5,6,3,4,66,14,0,3,0.318,0.42,0.5379999999999999,0.958,0.435,169.3,5.34
13,13,13, SK,36,113,376,315,53,85,12,0,12,133,46,15,4,8,2,57,7,4,4,0.27,0.371,0.422,0.7929999999999999,0.35600000000000004,104.1,1.67
14,14,14, SK,37,82,219,191,22,42,7,0,8,73,27,1,2,1,0,34,6,3,1,0.22,0.306,0.382,0.688,0.311,79.3,0.13
15,15,15, SK,38,74,187,161,11,30,8,0,1,41,12,4,1,0,0,36,2,7,4,0.18600000000000005,0.25,0.255,0.505,0.234,30.3,-1.15
16,16,16, SK,39,46,120,104,16,26,5,0,5,46,18,0,1,1,0,25,3,0,1,0.25,0.342,0.442,0.784,0.364,128.4,0.75
