,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, KIA,19,123,415,371,53,87,13,4,14,150,38,8,5,2,1,103,10,7,3,0.235,0.297,0.404,0.701,0.306,69.5, 0.67
1,1,1, KIA,20,133,537,461,79,134,21,3,8,185,50,18,5,7,1,96,12,16,4,0.29100000000000004,0.365,0.401,0.7659999999999999,0.345,101.9, 3.24
2,2,2, KIA,21,115,433,378,54,119,21,4,5,163,46,9,4,3,1,55,13,17,2,0.315,0.373,0.431,0.804,0.36,117.0, 3.28
3,3,3, KIA,22,132,558,489,60,141,31,2,3,185,64,20,3,6,4,74,12,14,7,0.28800000000000003,0.34700000000000003,0.378,0.726,0.332,105.6, 3.72
4,4,4, KIA,23,118,484,414,56,103,15,0,3,127,39,16,1,6,0,74,13,7,5,0.249,0.338,0.307,0.644,0.31,78.4, 1.61
5,5,5, KIA,24,126,479,434,65,147,31,2,18,236,88,19,6,6,1,65,11,2,4,0.339,0.39,0.544,0.934,0.408,133.4, 4.55
6,6,6, KIA,26,10,43,36,3,8,2,0,0,10,1,0,0,0,0,8,2,1,1,0.222,0.31,0.278,0.5870000000000001,0.278,46.4, -0.13
7,7,7, KIA,27,132,545,487,95,154,29,2,21,250,93,7,0,4,1,70,19,6,5,0.316,0.373,0.513,0.8859999999999999,0.382,123.0, 4.39
8,8,8, KIA,28,130,549,494,88,169,38,1,23,278,118,5,1,10,1,57,13,0,9,0.342,0.392,0.563,0.954,0.407,140.3, 4.98
9,9,9, KIA,29,105,408,362,45,114,18,1,5,149,49,4,2,1,1,37,9,0,5,0.315,0.38,0.412,0.792,0.368,122.5, 2.81
10,10,10, 롯데,30,124,460,412,49,118,28,0,8,170,54,14,3,7,2,47,11,4,2,0.28600000000000003,0.35100000000000003,0.413,0.764,0.34600000000000003,99.1, 
11,11,11, 롯데,31,119,490,421,58,129,30,2,10,193,82,3,6,3,2,58,10,5,9,0.306,0.379,0.458,0.838,0.382,124.3, 3.45
12,12,12, 롯데,32,34,154,142,21,41,9,2,5,69,19,1,1,0,1,13,2,0,2,0.289,0.331,0.486,0.8170000000000001,0.368,135.6, 1.30
