,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, SK,18,23,49,48,2,15,0,0,0,15,4,0,0,0,0,9,2,0,0,0.313,0.327,0.313,0.639,0.305,89.1, 0.25
1,1,1, SK,19,66,119,108,16,36,8,0,3,53,21,1,0,3,0,13,4,0,1,0.333,0.387,0.491,0.877,0.404,153.9, 0.97
2,2,2, SK,20,82,171,146,14,46,13,1,3,70,25,2,0,2,0,24,8,0,3,0.315,0.398,0.479,0.877,0.404,147.9, 1.30
3,3,3, SK,21,24,39,32,2,11,2,0,0,13,5,0,0,1,0,4,1,0,0,0.344,0.462,0.406,0.868,0.413,143.3, 0.25
4,4,4, SK,22,54,79,70,8,18,5,0,1,26,7,0,0,2,2,8,4,1,1,0.257,0.321,0.371,0.6920000000000001,0.306,75.6, -0.11
5,5,5, SK,24,16,33,28,3,9,0,0,2,15,7,0,0,1,0,4,1,0,0,0.321,0.424,0.536,0.96,0.444,184.7, 0.53
6,6,6, SK,25,69,252,226,27,57,10,1,8,93,41,2,1,4,0,32,8,3,2,0.252,0.313,0.412,0.725,0.331,92.6, 1.50
7,7,7, SK,26,120,484,412,48,139,30,2,12,209,83,3,0,12,7,66,14,0,11,0.337,0.413,0.507,0.921,0.405,134.3, 4.04
8,8,8, SK,27,140,559,489,58,138,18,1,17,209,100,1,3,11,5,85,22,0,5,0.282,0.363,0.4270000000000001,0.7909999999999999,0.355,106.7, 1.68
9,9,9, SK,28,130,472,411,49,119,15,0,15,179,64,1,5,9,3,76,15,2,7,0.29,0.364,0.436,0.799,0.359,99.4, 1.93
10,10,10, SK,29,114,350,314,32,76,15,0,9,118,42,0,1,8,0,55,9,8,4,0.242,0.292,0.376,0.6679999999999999,0.29100000000000004,61.9, 0.30
11,11,11, SK,30,130,471,407,63,134,24,0,17,209,57,0,0,12,0,65,13,4,5,0.329,0.405,0.514,0.918,0.397,130.6, 4.21
12,12,12, SK,31,139,502,451,33,121,19,0,12,176,75,1,0,9,2,59,16,1,7,0.268,0.327,0.39,0.718,0.33,96.1, 2.69
13,13,13, SK,32,80,251,222,18,41,8,0,2,55,21,0,0,6,3,24,12,3,1,0.185,0.266,0.248,0.514,0.241,31.8, 
14,14,14, SSG,33,107,313,271,29,76,13,0,3,98,30,0,2,5,4,47,14,6,2,0.28,0.358,0.362,0.72,0.334,95.2, 1.50
15,15,15, SSG,34,20,62,56,2,9,1,0,0,10,7,1,0,0,0,15,3,2,1,0.161,0.2,0.179,0.379,0.17800000000000002,3.3, -0.33
