,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 쌍방울,23,111,431,377,51,99,12,2,1,118,23,13,7,10,0,48,4,7,1,0.263,0.342,0.313,0.655,0.313,100.9,2.45
1,1,1, 쌍방울,24,118,446,383,52,95,13,2,1,115,27,31,12,13,0,46,5,9,0,0.248,0.339,0.3,0.64,0.304,89.5,2.15
2,2,2, 쌍방울,25,125,548,496,68,147,20,1,1,172,30,29,14,8,0,37,3,10,5,0.29600000000000004,0.342,0.34700000000000003,0.6890000000000001,0.316,102.4,3.22
3,3,3, 쌍방울,26,126,523,449,57,116,22,3,1,147,40,5,6,13,1,53,6,20,4,0.258,0.32299999999999995,0.327,0.6509999999999999,0.293,82.9,1.66
4,4,4, 쌍방울,27,126,558,477,68,146,30,1,2,184,39,3,9,6,0,49,4,21,2,0.306,0.379,0.386,0.765,0.342,113.0,3.54
5,5,5, 쌍방울,28,126,537,469,65,135,22,3,4,175,39,9,5,4,0,42,9,20,2,0.28800000000000003,0.35,0.373,0.723,0.32,98.4,2.83
6,6,6, 쌍방울,29,132,563,486,60,116,19,0,2,141,40,12,6,6,0,60,5,9,7,0.239,0.318,0.29,0.608,0.28300000000000003,58.3,0.11
7,7,7, SK,30,133,568,492,71,129,15,0,5,159,50,9,4,10,1,55,9,7,3,0.262,0.348,0.32299999999999995,0.6709999999999999,0.313,81.4,1.76
8,8,8, SK,31,133,382,318,40,77,14,0,5,106,31,13,5,6,0,36,5,17,3,0.242,0.332,0.333,0.665,0.302,68.3,0.63
9,9,9, SK,32,121,300,260,28,68,7,2,2,85,22,6,3,9,0,40,1,10,2,0.262,0.331,0.327,0.6579999999999999,0.295,76.4,0.81
10,10,10, SK,33,33,28,24,5,5,2,0,0,7,3,0,1,1,0,2,0,2,0,0.208,0.269,0.292,0.561,0.244,33.1,-0.11
