year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1990, 태평양, 22, 120, 476, 414, 50, 118, 29, 1, 10, 179, 68, 7, 5, 6, 4, 37, 17, 0, 6, 0.285, 0.366, 0.432, 0.798, 0.372, 128.0, 2.84
1991, 태평양, 23, 109, 431, 392, 42, 114, 25, 4, 8, 171, 59, 5, 6, 3, 5, 39, 7, 0, 6, 0.291, 0.341, 0.436, 0.777, 0.353, 116.5, 2.00
1992, 태평양, 24, 126, 509, 465, 57, 118, 21, 2, 21, 206, 65, 1, 3, 2, 6, 62, 12, 0, 3, 0.254, 0.312, 0.443, 0.755, 0.335, 98.8, 1.21
1993, 태평양, 25, 86, 351, 318, 28, 89, 14, 0, 8, 127, 49, 2, 2, 4, 4, 37, 15, 1, 1, 0.280, 0.343, 0.399, 0.742, 0.346, 125.4, 1.81
1994, 태평양, 26, 124, 498, 433, 68, 120, 19, 3, 23, 214, 70, 3, 2, 7, 6, 68, 9, 0, 2, 0.277, 0.368, 0.494, 0.862, 0.389, 147.8, 4.25
1995, 태평양, 27, 96, 398, 356, 52, 105, 19, 1, 12, 162, 46, 4, 1, 4, 5, 51, 5, 0, 0, 0.295, 0.369, 0.455, 0.824, 0.373, 142.3, 3.14
1996, 현대, 28, 115, 472, 412, 54, 113, 16, 1, 20, 191, 64, 6, 4, 7, 1, 82, 6, 0, 3, 0.274, 0.360, 0.464, 0.824, 0.377, 141.9, 3.64
1997, 현대, 29, 91, 366, 311, 36, 79, 21, 0, 6, 118, 51, 6, 4, 7, 1, 55, 15, 2, 4, 0.254, 0.352, 0.379, 0.731, 0.336, 108.6, 1.28
1998, 현대, 30, 126, 493, 431, 62, 118, 25, 0, 18, 197, 59, 5, 6, 12, 3, 79, 11, 4, 3, 0.274, 0.354, 0.457, 0.811, 0.358, 124.9, 3.88
1999, 현대, 31, 92, 308, 264, 37, 73, 11, 1, 6, 104, 37, 1, 4, 5, 2, 60, 8, 1, 3, 0.277, 0.368, 0.394, 0.762, 0.344, 99.3, 0.65
2000, 현대|SK, 32, 49, 177, 142, 19, 40, 5, 0, 4, 57, 21, 2, 2, 4, 0, 24, 4, 2, 0, 0.282, 0.417, 0.401, 0.819, 0.378, 125.1, 0.95
, 현대, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 0.00
, SK, 32, 49, 177, 142, 19, 40, 5, 0, 4, 57, 21, 2, 2, 4, 0, 24, 4, 2, 0, 0.282, 0.417, 0.401, 0.819, 0.378, 125.1, 0.95
2001, SK, 33, 48, 97, 82, 10, 19, 1, 0, 2, 26, 9, 0, 0, 4, 0, 21, 2, 0, 1, 0.232, 0.340, 0.317, 0.657, 0.317, 78.5, -0.00
