year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, OB, 24, 113, 314, 272, 28, 65, 8, 2, 0, 77, 21, 12, 5, 3, 0, 52, 3, 21, 4, 0.239, 0.280, 0.283, 0.563, 0.251, 53.9, 0.43
1994, OB, 25, 126, 491, 426, 57, 117, 13, 0, 8, 154, 34, 17, 7, 10, 1, 64, 6, 21, 1, 0.275, 0.340, 0.362, 0.702, 0.317, 98.6, 3.07
1995, OB, 26, 113, 455, 400, 79, 115, 24, 3, 2, 151, 30, 47, 17, 5, 0, 58, 3, 10, 3, 0.288, 0.353, 0.378, 0.730, 0.332, 114.0, 4.14
1996, OB, 27, 15, 63, 59, 8, 16, 5, 0, 0, 21, 6, 2, 1, 0, 0, 8, 1, 0, 1, 0.271, 0.302, 0.356, 0.658, 0.304, 90.4, 0.33
1997, OB, 28, 122, 529, 467, 75, 111, 13, 5, 6, 152, 34, 46, 7, 8, 1, 94, 11, 10, 0, 0.238, 0.314, 0.325, 0.640, 0.294, 78.9, 2.90
1998, OB, 29, 112, 410, 371, 36, 84, 16, 4, 1, 111, 19, 22, 9, 5, 0, 70, 4, 11, 2, 0.226, 0.276, 0.299, 0.575, 0.258, 53.5, 0.47
1999, 두산, 30, 132, 515, 458, 70, 125, 17, 6, 3, 163, 46, 37, 5, 7, 1, 65, 8, 13, 4, 0.273, 0.329, 0.356, 0.685, 0.304, 72.0, 2.15
2000, 두산, 31, 99, 328, 288, 40, 72, 9, 2, 3, 94, 32, 23, 5, 3, 0, 50, 9, 13, 1, 0.250, 0.311, 0.326, 0.638, 0.284, 60.8, 0.78
2001, 두산, 32, 109, 357, 306, 42, 66, 17, 2, 4, 99, 29, 14, 3, 9, 0, 44, 7, 9, 4, 0.216, 0.299, 0.324, 0.622, 0.285, 56.2, 0.53
2002, 두산, 33, 95, 185, 160, 14, 25, 3, 1, 2, 36, 11, 7, 0, 3, 0, 39, 4, 6, 4, 0.156, 0.224, 0.225, 0.449, 0.203, 9.6, -0.70
2003, 두산, 34, 77, 218, 193, 23, 42, 7, 0, 0, 49, 15, 5, 3, 2, 0, 32, 1, 5, 5, 0.218, 0.268, 0.254, 0.522, 0.241, 30.3, -0.47
