year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 빙그레, 23, 97, 314, 276, 23, 74, 12, 2, 4, 102, 35, 4, 5, 0, 1, 28, 7, 2, 2, 0.268, 0.346, 0.370, 0.716, 0.339, 117.8, 1.16
1987, 빙그레, 24, 85, 300, 274, 24, 70, 9, 2, 3, 92, 26, 3, 3, 2, 0, 22, 5, 3, 3, 0.255, 0.303, 0.336, 0.639, 0.302, 82.3, 1.44
1988, 빙그레, 25, 81, 191, 170, 19, 40, 9, 1, 4, 63, 21, 1, 2, 0, 0, 20, 4, 1, 2, 0.235, 0.305, 0.371, 0.676, 0.313, 90.5, 1.05
1989, 빙그레, 26, 94, 204, 174, 19, 45, 8, 2, 6, 75, 27, 1, 3, 0, 1, 13, 7, 5, 4, 0.259, 0.332, 0.431, 0.763, 0.345, 111.6, 1.59
1990, 빙그레, 27, 116, 372, 314, 39, 90, 9, 3, 10, 135, 46, 10, 4, 4, 0, 37, 12, 4, 3, 0.287, 0.383, 0.430, 0.813, 0.380, 132.5, 4.17
1991, 빙그레, 28, 115, 352, 309, 40, 83, 19, 3, 8, 132, 43, 5, 1, 1, 1, 39, 7, 4, 3, 0.269, 0.342, 0.427, 0.769, 0.350, 114.3, 3.23
1992, 빙그레, 29, 113, 331, 295, 32, 79, 10, 2, 9, 120, 36, 5, 3, 2, 2, 38, 11, 3, 2, 0.268, 0.335, 0.407, 0.742, 0.336, 99.1, 2.25
1993, 빙그레, 30, 103, 274, 244, 17, 48, 3, 1, 2, 59, 13, 2, 1, 2, 2, 47, 6, 4, 1, 0.197, 0.270, 0.242, 0.512, 0.245, 51.9, 0.36
1994, 한화, 31, 115, 400, 336, 35, 86, 13, 0, 7, 120, 48, 4, 2, 5, 3, 43, 14, 11, 4, 0.256, 0.347, 0.357, 0.704, 0.321, 101.6, 2.76
1995, 한화, 32, 59, 149, 128, 13, 29, 4, 0, 3, 42, 19, 0, 1, 1, 0, 18, 5, 4, 2, 0.227, 0.303, 0.328, 0.632, 0.287, 82.1, 0.62
1996, 현대, 33, 67, 92, 85, 5, 18, 4, 0, 1, 25, 12, 0, 1, 0, 0, 11, 3, 4, 2, 0.212, 0.216, 0.294, 0.510, 0.222, 33.1, -0.14
1997, 현대, 34, 47, 73, 58, 4, 11, 2, 0, 0, 13, 8, 0, 0, 2, 2, 12, 2, 1, 1, 0.190, 0.333, 0.224, 0.558, 0.266, 59.9, 0.12
