year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2001, 두산, 23, 38, 42, 35, 12, 6, 1, 0, 0, 7, 2, 3, 0, 0, 0, 7, 2, 2, 0, 0.171, 0.275, 0.200, 0.475, 0.231, 19.0, -0.15
2003, 두산|KIA, 25, 19, 17, 13, 0, 2, 1, 0, 0, 3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0.154, 0.353, 0.231, 0.584, 0.301, 74.6, 0.05
, 두산, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 0.00
, KIA, 25, 19, 17, 13, 0, 2, 1, 0, 0, 3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0.154, 0.353, 0.231, 0.584, 0.301, 74.6, 0.05
2004, KIA, 26, 41, 41, 34, 3, 9, 0, 0, 0, 9, 1, 0, 3, 0, 0, 8, 0, 4, 0, 0.265, 0.324, 0.265, 0.589, 0.261, 47.0, -0.18
2005, KIA, 27, 28, 26, 25, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0.040, 0.077, 0.040, 0.117, 0.064, -83.5, -0.45
2006, KIA, 28, 94, 213, 181, 26, 61, 5, 3, 0, 72, 13, 12, 2, 0, 0, 27, 2, 17, 1, 0.337, 0.383, 0.398, 0.780, 0.338, 113.2, 1.41
2007, KIA, 29, 114, 360, 313, 40, 76, 11, 4, 3, 104, 28, 9, 9, 2, 0, 58, 5, 6, 1, 0.243, 0.328, 0.332, 0.660, 0.311, 86.2, 0.65
2008, KIA, 30, 106, 404, 344, 55, 105, 14, 4, 0, 127, 30, 21, 8, 3, 1, 50, 3, 4, 2, 0.305, 0.398, 0.369, 0.767, 0.365, 120.7, 2.76
2009, KIA, 31, 101, 426, 356, 74, 107, 14, 9, 8, 163, 43, 20, 10, 6, 1, 55, 8, 5, 3, 0.301, 0.401, 0.458, 0.859, 0.385, 123.7, 3.62
2010, KIA, 32, 111, 428, 353, 43, 84, 16, 3, 5, 121, 28, 15, 6, 2, 0, 63, 5, 16, 1, 0.238, 0.345, 0.343, 0.687, 0.315, 81.8, 0.75
2011, KIA, 33, 87, 316, 269, 36, 73, 18, 2, 2, 101, 30, 1, 3, 0, 1, 28, 4, 10, 5, 0.271, 0.343, 0.375, 0.719, 0.326, 93.8, 0.82
2012, KIA, 34, 120, 472, 386, 60, 117, 21, 4, 3, 155, 61, 8, 4, 2, 1, 54, 12, 12, 3, 0.303, 0.409, 0.402, 0.810, 0.376, 136.9, 3.81
2013, KIA, 35, 42, 119, 96, 12, 18, 8, 0, 1, 29, 12, 1, 0, 0, 0, 20, 0, 0, 0, 0.188, 0.345, 0.302, 0.647, 0.321, 85.6, 0.24
2014, KIA, 36, 44, 101, 80, 21, 18, 4, 1, 0, 24, 13, 3, 1, 0, 0, 13, 2, 2, 2, 0.225, 0.354, 0.300, 0.654, 0.312, 69.3, 0.08
2015, KIA, 37, 110, 341, 277, 45, 74, 13, 3, 5, 108, 33, 8, 5, 3, 0, 46, 5, 6, 2, 0.267, 0.388, 0.390, 0.778, 0.357, 103.2, 1.26
2016, KIA, 38, 37, 90, 73, 10, 16, 5, 0, 0, 21, 12, 1, 0, 0, 0, 16, 2, 1, 1, 0.219, 0.348, 0.288, 0.636, 0.311, 67.8, 0.08
