year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 롯데, 23, 10, 30, 29, 5, 14, 0, 0, 1, 17, 3, 2, 1, 1, 0, 2, 0, 0, 0, 0.483, 0.500, 0.586, 1.086, 0.517, 227.4, 0.57
1990, 롯데, 24, 108, 433, 377, 53, 110, 20, 4, 7, 159, 47, 21, 12, 2, 1, 41, 9, 1, 6, 0.292, 0.368, 0.422, 0.790, 0.370, 126.0, 3.06
1991, 롯데, 25, 121, 504, 436, 77, 131, 17, 8, 9, 191, 51, 25, 9, 3, 13, 47, 5, 2, 2, 0.300, 0.388, 0.438, 0.827, 0.375, 130.5, 4.20
1992, 롯데, 26, 119, 486, 401, 76, 128, 20, 12, 10, 202, 79, 29, 8, 5, 3, 50, 6, 7, 15, 0.319, 0.399, 0.504, 0.903, 0.395, 138.2, 4.59
1993, 롯데, 27, 108, 420, 369, 49, 105, 26, 3, 3, 146, 48, 12, 8, 3, 0, 44, 7, 4, 7, 0.285, 0.349, 0.396, 0.744, 0.346, 124.5, 2.76
1994, 롯데, 28, 100, 407, 350, 63, 113, 24, 4, 8, 169, 55, 20, 11, 3, 4, 45, 7, 2, 7, 0.323, 0.398, 0.483, 0.880, 0.397, 153.3, 4.24
1995, 롯데, 29, 104, 435, 364, 58, 109, 14, 4, 8, 155, 61, 31, 5, 5, 5, 45, 7, 1, 8, 0.299, 0.394, 0.426, 0.820, 0.372, 140.5, 4.35
1996, 롯데, 30, 126, 518, 446, 62, 143, 22, 6, 9, 204, 64, 26, 7, 2, 6, 61, 11, 1, 4, 0.321, 0.406, 0.457, 0.864, 0.394, 152.8, 5.69
1997, 롯데, 31, 62, 236, 204, 26, 51, 17, 3, 2, 80, 22, 2, 3, 2, 3, 47, 4, 0, 2, 0.250, 0.340, 0.392, 0.733, 0.330, 104.2, 0.95
1998, 롯데, 32, 94, 342, 305, 32, 81, 11, 2, 4, 108, 36, 2, 7, 2, 2, 46, 2, 1, 1, 0.266, 0.340, 0.354, 0.694, 0.318, 96.8, 0.89
1999, 롯데, 33, 125, 555, 481, 98, 141, 27, 7, 8, 206, 60, 12, 13, 1, 2, 81, 6, 7, 4, 0.293, 0.372, 0.428, 0.801, 0.354, 105.8, 1.41
2000, 롯데, 34, 107, 439, 401, 57, 111, 15, 3, 6, 150, 45, 9, 7, 2, 4, 78, 7, 1, 1, 0.277, 0.336, 0.374, 0.710, 0.321, 86.8, 0.86
2001, 롯데, 35, 89, 300, 274, 35, 76, 10, 1, 4, 100, 33, 2, 0, 2, 3, 44, 7, 1, 2, 0.277, 0.331, 0.365, 0.696, 0.319, 79.7, -0.10
2002, 롯데, 36, 116, 412, 373, 35, 106, 15, 3, 3, 136, 49, 12, 5, 2, 2, 58, 8, 2, 1, 0.284, 0.346, 0.365, 0.711, 0.322, 95.4, 1.39
2003, 롯데, 37, 51, 156, 140, 18, 33, 5, 1, 4, 52, 14, 2, 2, 2, 1, 22, 6, 2, 0, 0.236, 0.305, 0.371, 0.677, 0.303, 75.4, 0.07
