year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, LG, 19, 125, 535, 463, 81, 134, 26, 3, 21, 229, 80, 21, 4, 12, 2, 86, 7, 0, 5, 0.289, 0.376, 0.495, 0.870, 0.395, 155.1, 5.97
1995, LG, 20, 116, 448, 381, 55, 97, 19, 3, 15, 167, 56, 13, 9, 13, 2, 83, 6, 3, 6, 0.255, 0.348, 0.438, 0.787, 0.354, 130.1, 3.21
1996, LG, 21, 117, 482, 414, 57, 117, 20, 0, 11, 170, 60, 7, 7, 11, 4, 52, 7, 6, 2, 0.283, 0.372, 0.411, 0.783, 0.358, 129.7, 3.29
1998, LG, 23, 122, 541, 482, 70, 142, 31, 3, 16, 227, 76, 8, 6, 7, 2, 80, 6, 2, 3, 0.295, 0.364, 0.471, 0.835, 0.370, 134.4, 4.23
1999, LG, 24, 121, 520, 453, 75, 130, 17, 1, 21, 212, 94, 8, 4, 9, 2, 58, 14, 0, 4, 0.287, 0.371, 0.468, 0.839, 0.369, 116.4, 2.93
2000, LG, 25, 131, 560, 464, 83, 143, 32, 2, 11, 212, 62, 6, 6, 7, 5, 73, 11, 3, 5, 0.308, 0.415, 0.457, 0.872, 0.391, 134.5, 4.26
2001, LG, 26, 126, 534, 428, 81, 139, 29, 1, 8, 194, 61, 10, 8, 6, 1, 83, 9, 8, 4, 0.325, 0.443, 0.453, 0.896, 0.411, 141.6, 4.52
2002, LG, 27, 98, 370, 296, 50, 99, 14, 0, 16, 161, 61, 11, 3, 18, 5, 51, 6, 0, 2, 0.334, 0.462, 0.544, 1.006, 0.441, 180.6, 5.03
2003, LG, 28, 50, 166, 143, 13, 44, 8, 0, 6, 70, 21, 0, 0, 4, 1, 25, 5, 0, 2, 0.308, 0.392, 0.490, 0.881, 0.393, 139.7, 1.32
2004, LG, 29, 120, 458, 373, 56, 112, 18, 3, 14, 178, 62, 1, 1, 12, 5, 58, 10, 0, 7, 0.300, 0.415, 0.477, 0.892, 0.405, 145.4, 4.13
2005, SK, 30, 120, 499, 400, 63, 126, 17, 0, 19, 200, 77, 2, 2, 16, 10, 59, 9, 0, 3, 0.315, 0.445, 0.500, 0.945, 0.427, 165.8, 4.68
2006, SK, 31, 109, 441, 356, 42, 102, 16, 1, 8, 144, 51, 5, 2, 6, 3, 56, 10, 1, 2, 0.287, 0.418, 0.404, 0.823, 0.388, 150.4, 3.36
2007, SK, 32, 84, 250, 204, 26, 40, 11, 0, 5, 66, 19, 4, 4, 1, 4, 40, 10, 1, 1, 0.196, 0.337, 0.324, 0.661, 0.313, 87.5, -0.04
2008, SK, 33, 108, 364, 297, 46, 92, 17, 3, 10, 145, 60, 4, 3, 4, 2, 40, 12, 0, 4, 0.310, 0.426, 0.488, 0.914, 0.421, 159.8, 3.23
2009, SK, 34, 112, 359, 289, 45, 87, 18, 0, 10, 135, 51, 8, 1, 5, 3, 45, 5, 0, 1, 0.301, 0.433, 0.467, 0.900, 0.408, 139.6, 2.51
2010, SK, 35, 111, 328, 267, 41, 77, 17, 0, 10, 124, 48, 7, 5, 3, 2, 42, 10, 4, 3, 0.288, 0.404, 0.464, 0.869, 0.391, 132.8, 1.79
