year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 두산, 19, 36, 9, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -137.8, -0.21
2005, 두산, 20, 47, 31, 27, 6, 6, 1, 1, 1, 12, 4, 1, 0, 1, 0, 5, 1, 1, 0, 0.222, 0.300, 0.444, 0.744, 0.323, 93.3, 0.15
2008, 두산, 23, 112, 292, 261, 48, 65, 8, 5, 1, 86, 21, 12, 3, 2, 0, 33, 7, 3, 1, 0.249, 0.318, 0.330, 0.648, 0.307, 80.6, 1.38
2009, 두산, 24, 80, 205, 180, 27, 43, 9, 4, 3, 69, 36, 4, 1, 1, 0, 27, 5, 0, 4, 0.239, 0.312, 0.383, 0.696, 0.313, 75.0, 0.54
2010, 두산, 25, 83, 102, 85, 11, 19, 3, 1, 0, 24, 8, 5, 1, 1, 0, 15, 3, 2, 0, 0.224, 0.340, 0.282, 0.622, 0.301, 72.3, 0.36
2011, 두산, 26, 57, 122, 109, 6, 20, 5, 1, 0, 27, 9, 1, 1, 2, 0, 15, 4, 2, 2, 0.183, 0.242, 0.248, 0.489, 0.232, 29.0, -0.31
2012, 두산, 27, 84, 200, 177, 23, 38, 2, 2, 0, 44, 11, 3, 3, 2, 0, 31, 5, 5, 0, 0.215, 0.287, 0.249, 0.536, 0.258, 53.5, 0.10
2013, 두산, 28, 91, 286, 248, 42, 78, 10, 3, 1, 97, 32, 9, 6, 0, 0, 24, 7, 10, 2, 0.315, 0.377, 0.391, 0.768, 0.352, 106.8, 2.00
2014, 두산, 29, 122, 421, 341, 50, 86, 14, 1, 3, 111, 54, 2, 8, 2, 0, 59, 14, 13, 11, 0.252, 0.348, 0.326, 0.674, 0.310, 71.7, 0.66
2015, 두산, 30, 133, 488, 410, 63, 126, 24, 3, 3, 165, 50, 7, 2, 3, 0, 42, 18, 14, 7, 0.307, 0.386, 0.402, 0.789, 0.354, 105.3, 3.64
2016, 두산, 31, 137, 496, 416, 69, 129, 27, 3, 7, 183, 78, 8, 4, 5, 1, 52, 8, 5, 13, 0.310, 0.389, 0.440, 0.829, 0.374, 110.5, 3.24
2017, 두산, 32, 91, 331, 283, 34, 83, 18, 1, 7, 124, 50, 7, 1, 3, 1, 52, 6, 2, 7, 0.293, 0.371, 0.438, 0.809, 0.358, 111.1, 2.17
2018, 두산, 33, 131, 467, 402, 78, 125, 20, 0, 16, 193, 75, 6, 2, 4, 1, 77, 12, 3, 6, 0.311, 0.390, 0.480, 0.870, 0.379, 124.5, 3.79
2019, 두산, 34, 130, 470, 377, 51, 101, 22, 0, 4, 135, 48, 3, 3, 7, 3, 58, 10, 8, 11, 0.268, 0.379, 0.358, 0.737, 0.342, 108.5, 2.92
2020, 두산, 35, 120, 457, 401, 48, 116, 15, 1, 2, 139, 39, 6, 2, 4, 1, 45, 17, 2, 5, 0.289, 0.363, 0.347, 0.709, 0.334, 95.3, 
2021, 두산, 36, 89, 251, 211, 23, 44, 8, 0, 1, 55, 24, 1, 1, 2, 0, 34, 7, 6, 3, 0.209, 0.306, 0.261, 0.567, 0.275, 58.2, -0.02
2022, 두산, 37, 23, 43, 37, 3, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 8, 0, 1, 1, 0.054, 0.143, 0.054, 0.197, 0.110, -44.1, -0.52
