year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1995, 롯데, 25, 126, 551, 476, 76, 131, 26, 4, 18, 219, 87, 16, 6, 13, 5, 82, 13, 0, 8, 0.275, 0.359, 0.460, 0.819, 0.368, 137.8, 4.21
1996, 롯데, 26, 120, 467, 428, 49, 118, 26, 3, 12, 186, 64, 5, 2, 3, 1, 81, 11, 3, 3, 0.276, 0.325, 0.435, 0.760, 0.345, 119.1, 2.44
1997, 롯데, 27, 126, 505, 452, 61, 117, 22, 3, 25, 220, 75, 6, 5, 9, 8, 76, 12, 2, 3, 0.259, 0.328, 0.487, 0.815, 0.355, 121.4, 2.67
1998, 롯데, 28, 126, 534, 465, 77, 136, 33, 1, 15, 216, 64, 2, 3, 12, 3, 97, 7, 3, 3, 0.292, 0.375, 0.465, 0.839, 0.372, 134.7, 3.63
1999, 롯데, 29, 132, 579, 503, 111, 187, 38, 4, 35, 338, 119, 6, 9, 10, 5, 65, 11, 0, 7, 0.372, 0.442, 0.672, 1.114, 0.468, 180.7, 7.18
2000, 롯데, 30, 132, 569, 497, 73, 146, 25, 1, 23, 242, 90, 2, 1, 18, 2, 75, 10, 0, 3, 0.294, 0.378, 0.487, 0.865, 0.384, 128.6, 3.52
2001, 삼성, 31, 133, 547, 470, 86, 154, 18, 0, 30, 262, 95, 1, 1, 5, 3, 82, 13, 0, 4, 0.328, 0.415, 0.557, 0.972, 0.430, 152.4, 4.43
2002, 삼성, 32, 133, 596, 532, 92, 172, 40, 2, 33, 315, 116, 2, 0, 12, 5, 74, 14, 0, 6, 0.323, 0.386, 0.592, 0.978, 0.418, 161.3, 5.61
2003, 삼성, 33, 132, 573, 502, 90, 146, 25, 0, 38, 285, 123, 1, 1, 10, 3, 89, 22, 1, 4, 0.291, 0.371, 0.568, 0.938, 0.406, 147.0, 4.21
2004, KIA, 34, 124, 519, 437, 54, 123, 16, 0, 11, 172, 71, 4, 3, 14, 4, 68, 19, 1, 11, 0.281, 0.373, 0.394, 0.766, 0.354, 110.0, 1.47
2005, KIA, 35, 94, 387, 338, 46, 90, 17, 0, 12, 143, 60, 0, 0, 8, 2, 66, 13, 2, 4, 0.266, 0.346, 0.423, 0.769, 0.349, 110.7, 1.10
2006, LG, 36, 80, 316, 282, 30, 76, 12, 2, 5, 107, 28, 1, 1, 5, 2, 54, 7, 1, 4, 0.270, 0.333, 0.379, 0.713, 0.331, 108.1, 1.12
2007, LG, 37, 11, 34, 28, 2, 2, 0, 0, 1, 5, 3, 0, 0, 0, 0, 9, 1, 0, 2, 0.071, 0.177, 0.179, 0.355, 0.175, -10.2, -0.38
2008, 롯데, 38, 32, 87, 72, 3, 11, 0, 0, 2, 17, 8, 0, 0, 0, 0, 13, 4, 0, 1, 0.153, 0.287, 0.236, 0.524, 0.264, 50.7, -0.39
