year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 해태, 23, 29, 54, 47, 3, 11, 1, 0, 1, 15, 4, 0, 0, 0, 0, 9, 0, 3, 0, 0.234, 0.294, 0.319, 0.613, 0.280, 65.3, -0.03
1988, 해태, 24, 36, 72, 69, 7, 13, 4, 0, 0, 17, 7, 1, 0, 0, 0, 10, 2, 0, 1, 0.188, 0.208, 0.246, 0.455, 0.212, 21.4, -0.45
1989, 해태, 25, 112, 377, 340, 47, 108, 15, 1, 13, 164, 59, 0, 2, 8, 3, 41, 12, 2, 0, 0.318, 0.381, 0.482, 0.864, 0.403, 152.0, 3.51
1990, 해태, 26, 114, 419, 363, 40, 103, 21, 1, 10, 156, 45, 0, 1, 8, 10, 46, 12, 1, 2, 0.284, 0.373, 0.430, 0.803, 0.370, 126.7, 2.72
1991, 해태, 27, 125, 483, 422, 41, 119, 24, 2, 14, 189, 80, 0, 1, 10, 3, 55, 6, 0, 1, 0.282, 0.371, 0.448, 0.819, 0.378, 133.2, 2.80
1992, 해태, 28, 116, 409, 362, 39, 98, 21, 0, 9, 146, 66, 1, 0, 4, 4, 44, 15, 1, 3, 0.271, 0.346, 0.403, 0.749, 0.341, 103.0, 0.86
1993, 해태, 29, 81, 227, 197, 19, 52, 6, 0, 2, 64, 17, 0, 1, 5, 2, 28, 4, 2, 0, 0.264, 0.356, 0.325, 0.680, 0.325, 109.5, 1.32
1994, 쌍방울, 30, 89, 197, 179, 11, 52, 9, 0, 2, 67, 25, 0, 1, 2, 0, 34, 2, 0, 1, 0.291, 0.350, 0.374, 0.725, 0.341, 115.5, 0.97
1995, 쌍방울, 31, 95, 315, 287, 21, 76, 12, 1, 5, 105, 35, 3, 3, 4, 1, 42, 10, 0, 0, 0.265, 0.330, 0.366, 0.696, 0.323, 107.2, 0.73
1996, 쌍방울, 32, 28, 43, 32, 1, 6, 0, 0, 1, 9, 2, 0, 0, 1, 0, 7, 3, 0, 0, 0.188, 0.395, 0.281, 0.677, 0.341, 116.8, 0.14
1997, 쌍방울, 33, 77, 122, 103, 9, 35, 6, 0, 1, 44, 18, 2, 0, 3, 4, 14, 2, 1, 0, 0.340, 0.438, 0.427, 0.865, 0.390, 146.2, 0.94
1998, 쌍방울, 34, 59, 138, 118, 9, 28, 2, 0, 1, 33, 14, 0, 0, 3, 1, 26, 1, 1, 1, 0.237, 0.336, 0.280, 0.615, 0.290, 77.5, -0.03
