year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2001, 삼성, 22, 130, 501, 420, 77, 117, 25, 3, 13, 187, 61, 17, 9, 12, 0, 60, 14, 9, 0, 0.279, 0.384, 0.445, 0.829, 0.375, 116.4, 2.88
2002, 삼성, 23, 133, 586, 504, 89, 137, 24, 2, 10, 195, 47, 13, 12, 6, 3, 79, 15, 14, 2, 0.272, 0.355, 0.387, 0.742, 0.328, 99.6, 1.93
2003, 삼성, 24, 133, 612, 528, 113, 170, 34, 1, 12, 242, 59, 17, 7, 8, 1, 55, 7, 8, 5, 0.322, 0.399, 0.458, 0.857, 0.384, 131.8, 4.83
2004, 삼성, 25, 132, 587, 503, 81, 156, 26, 2, 16, 234, 63, 13, 9, 5, 3, 57, 8, 7, 3, 0.310, 0.397, 0.465, 0.862, 0.390, 133.9, 5.49
2005, 삼성, 26, 123, 551, 471, 62, 139, 21, 0, 9, 187, 59, 12, 10, 9, 2, 51, 15, 12, 4, 0.295, 0.377, 0.397, 0.774, 0.353, 113.5, 3.53
2006, 삼성, 27, 126, 567, 471, 89, 134, 21, 2, 6, 177, 43, 15, 10, 6, 4, 62, 11, 7, 3, 0.285, 0.393, 0.376, 0.769, 0.360, 128.9, 4.89
2007, 삼성, 28, 123, 559, 479, 68, 128, 12, 1, 2, 148, 27, 10, 3, 4, 5, 47, 7, 4, 5, 0.267, 0.359, 0.309, 0.668, 0.320, 92.5, 2.61
2008, 삼성, 29, 104, 442, 370, 57, 117, 17, 2, 4, 150, 41, 5, 6, 1, 1, 37, 6, 5, 3, 0.316, 0.414, 0.405, 0.820, 0.386, 134.4, 3.98
2009, 삼성, 30, 110, 394, 334, 48, 104, 29, 2, 2, 143, 36, 7, 5, 1, 2, 44, 7, 6, 3, 0.311, 0.400, 0.428, 0.828, 0.373, 115.4, 2.09
2010, 삼성, 31, 128, 470, 379, 64, 114, 21, 2, 11, 172, 63, 5, 4, 3, 2, 54, 10, 10, 5, 0.301, 0.413, 0.454, 0.867, 0.389, 131.4, 3.40
2011, 삼성, 32, 121, 506, 429, 77, 110, 19, 2, 4, 145, 30, 8, 2, 5, 3, 88, 7, 10, 2, 0.256, 0.353, 0.338, 0.691, 0.325, 93.1, 1.62
2012, 삼성, 33, 111, 463, 388, 61, 118, 19, 4, 1, 148, 51, 4, 6, 1, 3, 72, 8, 13, 3, 0.304, 0.393, 0.381, 0.775, 0.358, 123.9, 2.84
2013, 삼성, 34, 112, 466, 394, 56, 112, 12, 3, 6, 148, 55, 4, 4, 1, 0, 74, 5, 18, 2, 0.284, 0.366, 0.376, 0.742, 0.340, 98.9, 1.57
2014, 삼성, 35, 125, 567, 472, 83, 156, 22, 2, 9, 209, 80, 7, 6, 5, 1, 74, 9, 24, 5, 0.331, 0.409, 0.443, 0.852, 0.374, 108.8, 2.74
2015, 삼성, 36, 94, 429, 367, 62, 110, 17, 4, 11, 168, 52, 6, 6, 1, 0, 63, 11, 7, 1, 0.300, 0.389, 0.458, 0.846, 0.377, 118.2, 1.93
2016, 삼성, 37, 110, 401, 349, 57, 105, 21, 0, 14, 168, 69, 1, 0, 2, 2, 72, 5, 6, 4, 0.301, 0.372, 0.481, 0.854, 0.374, 109.2, 1.57
2017, 삼성, 38, 68, 134, 118, 14, 31, 9, 0, 4, 52, 14, 0, 0, 0, 2, 33, 2, 2, 1, 0.263, 0.333, 0.441, 0.774, 0.331, 88.1, 0.22
2018, 삼성, 39, 114, 392, 342, 47, 97, 16, 0, 10, 143, 43, 5, 3, 0, 2, 91, 9, 6, 1, 0.284, 0.363, 0.418, 0.781, 0.342, 95.6, 0.59
2019, 삼성, 40, 30, 85, 74, 6, 19, 3, 0, 2, 28, 13, 0, 0, 0, 0, 17, 0, 1, 1, 0.257, 0.333, 0.378, 0.712, 0.327, 93.9, 0.10
