year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, 삼성, 23, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , 0.00
2014, 삼성, 24, 119, 373, 310, 65, 92, 11, 4, 1, 114, 31, 36, 8, 6, 0, 45, 4, 19, 1, 0.297, 0.381, 0.368, 0.749, 0.337, 85.3, 1.60
2015, 삼성, 25, 144, 608, 525, 96, 154, 22, 7, 0, 190, 47, 60, 8, 2, 1, 126, 8, 23, 2, 0.293, 0.362, 0.362, 0.724, 0.326, 85.2, 3.52
2016, 삼성, 26, 141, 641, 564, 109, 169, 26, 12, 4, 231, 61, 52, 15, 3, 2, 87, 6, 22, 3, 0.300, 0.357, 0.410, 0.767, 0.339, 86.5, 2.19
2017, 삼성, 27, 144, 638, 570, 96, 162, 25, 8, 7, 224, 54, 40, 12, 1, 0, 78, 6, 8, 9, 0.284, 0.338, 0.393, 0.731, 0.325, 85.6, 2.22
2018, 삼성, 28, 144, 649, 576, 114, 172, 30, 10, 9, 249, 68, 36, 10, 3, 0, 99, 9, 8, 6, 0.299, 0.360, 0.432, 0.793, 0.347, 99.1, 3.20
2019, 삼성, 29, 144, 581, 506, 64, 121, 16, 7, 5, 166, 44, 24, 7, 2, 0, 82, 4, 12, 3, 0.239, 0.318, 0.328, 0.646, 0.300, 77.0, 1.28
2020, 삼성, 30, 132, 541, 489, 84, 142, 18, 5, 11, 203, 55, 34, 12, 3, 1, 77, 7, 7, 3, 0.290, 0.345, 0.415, 0.760, 0.342, 98.2, 
2021, 삼성, 31, 127, 542, 454, 78, 132, 22, 1, 5, 171, 54, 36, 15, 3, 2, 82, 3, 9, 7, 0.291, 0.383, 0.377, 0.759, 0.356, 110.6, 3.38
2022, LG, 32, 38, 167, 142, 20, 34, 3, 1, 0, 39, 12, 8, 3, 4, 0, 32, 0, 2, 1, 0.239, 0.339, 0.275, 0.614, 0.298, 88.7, 0.50
