year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2006, 한화, 23, 18, 20, 20, 4, 7, 0, 0, 2, 13, 5, 0, 0, 0, 0, 4, 2, 0, 0, 0.350, 0.350, 0.650, 1.000, 0.456, 193.7, 0.31
2007, 한화, 24, 30, 42, 39, 4, 8, 1, 0, 0, 9, 2, 0, 1, 0, 0, 14, 1, 1, 1, 0.205, 0.220, 0.231, 0.450, 0.207, 15.6, -0.20
2008, 한화, 25, 75, 154, 140, 19, 38, 7, 0, 7, 66, 23, 0, 0, 3, 0, 44, 5, 1, 0, 0.271, 0.333, 0.471, 0.805, 0.367, 121.4, 0.89
2009, 한화, 26, 116, 440, 417, 50, 109, 15, 1, 14, 168, 43, 5, 0, 5, 1, 109, 13, 5, 1, 0.261, 0.290, 0.403, 0.693, 0.304, 69.6, 1.15
2010, 한화, 27, 77, 291, 263, 30, 68, 11, 0, 6, 97, 34, 4, 4, 2, 1, 68, 5, 3, 2, 0.259, 0.316, 0.369, 0.685, 0.312, 80.4, 0.72
2013, 한화, 30, 67, 268, 245, 33, 64, 13, 0, 7, 98, 33, 1, 1, 4, 0, 62, 8, 1, 0, 0.261, 0.322, 0.400, 0.722, 0.336, 96.2, 1.43
2014, 한화, 31, 103, 421, 389, 52, 123, 22, 2, 11, 182, 58, 3, 2, 0, 2, 73, 15, 4, 2, 0.316, 0.357, 0.468, 0.825, 0.363, 97.8, 2.07
2015, 한화, 32, 12, 41, 37, 2, 9, 2, 0, 0, 11, 1, 0, 0, 1, 0, 11, 1, 1, 0, 0.243, 0.300, 0.297, 0.597, 0.276, 48.0, -0.02
2016, 한화, 33, 116, 494, 449, 80, 146, 27, 2, 17, 228, 83, 3, 0, 4, 0, 86, 16, 7, 6, 0.325, 0.366, 0.508, 0.873, 0.381, 112.3, 2.95
2017, 한화, 34, 117, 473, 437, 71, 143, 26, 0, 13, 208, 75, 2, 3, 3, 1, 88, 11, 4, 8, 0.327, 0.356, 0.476, 0.832, 0.362, 108.7, 2.71
2018, 한화, 35, 113, 460, 434, 63, 129, 24, 0, 18, 207, 79, 4, 4, 4, 0, 93, 13, 0, 4, 0.297, 0.328, 0.477, 0.805, 0.346, 96.4, 1.58
2019, 한화, 36, 122, 486, 454, 50, 119, 21, 0, 7, 161, 51, 8, 2, 3, 0, 91, 18, 3, 5, 0.262, 0.296, 0.355, 0.651, 0.300, 79.8, 1.04
2020, 한화, 37, 94, 298, 277, 31, 65, 12, 0, 9, 104, 43, 0, 0, 3, 1, 69, 17, 1, 3, 0.235, 0.276, 0.375, 0.652, 0.291, 66.5, 
