year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1982, OB, 21, 77, 320, 293, 40, 98, 21, 3, 4, 137, 54, 14, 8, 3, 8, 17, 2, 1, 3, 0.334, 0.379, 0.468, 0.847, 0.376, 129.4, 2.11
1983, OB, 22, 100, 421, 377, 47, 101, 15, 1, 5, 133, 50, 10, 7, 7, 2, 38, 2, 6, 0, 0.268, 0.335, 0.353, 0.688, 0.320, 101.8, 1.32
1984, OB, 23, 31, 107, 91, 15, 21, 5, 0, 1, 29, 12, 3, 1, 0, 1, 4, 0, 2, 1, 0.231, 0.324, 0.319, 0.643, 0.298, 85.0, 0.17
1985, OB, 24, 110, 457, 404, 54, 113, 23, 4, 8, 168, 58, 16, 3, 6, 5, 44, 5, 4, 3, 0.280, 0.351, 0.416, 0.767, 0.351, 117.7, 2.72
1986, OB, 25, 106, 427, 380, 37, 103, 15, 5, 1, 131, 34, 6, 8, 3, 2, 27, 9, 6, 4, 0.271, 0.333, 0.345, 0.677, 0.318, 102.8, 1.27
1987, OB, 26, 102, 378, 349, 39, 94, 8, 6, 3, 123, 39, 5, 2, 3, 4, 20, 4, 1, 2, 0.269, 0.318, 0.352, 0.671, 0.315, 90.6, 0.83
1988, OB, 27, 107, 408, 378, 41, 109, 12, 3, 4, 139, 38, 12, 2, 1, 1, 18, 3, 2, 2, 0.288, 0.333, 0.368, 0.700, 0.326, 99.5, 1.43
1989, OB, 28, 118, 479, 422, 55, 116, 25, 6, 8, 177, 57, 25, 8, 11, 5, 36, 5, 8, 5, 0.275, 0.338, 0.419, 0.758, 0.347, 113.2, 2.57
1990, OB, 29, 117, 428, 385, 38, 98, 21, 2, 5, 138, 42, 14, 7, 3, 4, 30, 6, 1, 6, 0.255, 0.314, 0.358, 0.672, 0.314, 88.2, 0.70
1991, 삼성, 30, 126, 527, 460, 71, 142, 15, 3, 7, 184, 57, 20, 15, 7, 2, 34, 13, 6, 5, 0.309, 0.380, 0.400, 0.780, 0.362, 122.0, 2.83
1992, 삼성, 31, 117, 469, 423, 61, 113, 15, 2, 3, 141, 41, 17, 7, 3, 0, 32, 8, 2, 4, 0.267, 0.328, 0.333, 0.661, 0.311, 82.8, 0.52
1993, 쌍방울, 32, 119, 461, 418, 35, 115, 18, 2, 5, 152, 49, 12, 7, 6, 4, 32, 8, 1, 3, 0.275, 0.335, 0.364, 0.698, 0.328, 112.0, 1.55
1994, 쌍방울, 33, 93, 249, 227, 23, 50, 14, 1, 2, 72, 26, 2, 0, 0, 1, 13, 6, 8, 4, 0.220, 0.249, 0.317, 0.566, 0.251, 52.2, -0.67
1995, 쌍방울, 34, 41, 49, 43, 3, 9, 1, 0, 0, 10, 3, 0, 0, 1, 0, 1, 1, 0, 1, 0.209, 0.286, 0.233, 0.518, 0.252, 57.7, -0.13
