year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2011, LG, 19, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -130.4, -0.07
2012, LG, 20, 13, 28, 24, 1, 3, 0, 0, 0, 3, 1, 0, 0, 1, 0, 5, 0, 2, 1, 0.125, 0.154, 0.125, 0.279, 0.129, -37.0, -0.26
2015, LG, 23, 126, 313, 279, 26, 76, 11, 1, 8, 113, 37, 2, 1, 7, 0, 55, 10, 7, 1, 0.272, 0.333, 0.405, 0.738, 0.328, 91.4, 1.33
2016, LG, 24, 100, 297, 263, 28, 70, 7, 0, 8, 101, 47, 0, 0, 7, 0, 48, 6, 4, 6, 0.266, 0.321, 0.384, 0.705, 0.317, 76.5, 0.78
2017, LG, 25, 118, 364, 324, 43, 90, 13, 0, 17, 154, 66, 2, 0, 15, 0, 72, 4, 9, 2, 0.278, 0.335, 0.475, 0.811, 0.346, 105.5, 2.57
2018, LG, 26, 132, 465, 425, 53, 126, 33, 0, 19, 216, 66, 0, 0, 9, 1, 80, 21, 2, 1, 0.296, 0.352, 0.508, 0.860, 0.368, 118.7, 3.68
2019, LG, 27, 132, 468, 418, 44, 113, 22, 0, 16, 183, 49, 0, 0, 13, 2, 82, 21, 1, 6, 0.270, 0.334, 0.438, 0.772, 0.350, 117.3, 3.38
2020, LG, 28, 137, 478, 429, 51, 112, 18, 0, 16, 178, 74, 1, 1, 13, 1, 84, 18, 2, 2, 0.261, 0.330, 0.415, 0.745, 0.337, 101.7, 
2021, LG, 29, 130, 441, 397, 39, 100, 16, 0, 11, 149, 60, 2, 0, 14, 1, 75, 11, 3, 2, 0.252, 0.317, 0.375, 0.693, 0.323, 93.3, 2.20
2022, LG, 30, 37, 138, 119, 16, 30, 6, 0, 2, 42, 19, 0, 0, 2, 0, 30, 2, 1, 0, 0.252, 0.350, 0.353, 0.703, 0.333, 116.7, 0.97
