year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2005, 롯데, 19, 72, 200, 163, 21, 33, 10, 1, 1, 48, 18, 0, 0, 4, 0, 58, 1, 13, 2, 0.202, 0.294, 0.294, 0.589, 0.263, 50.6, -0.12
2006, 롯데, 20, 123, 321, 287, 26, 65, 8, 0, 1, 76, 27, 3, 1, 4, 0, 55, 3, 12, 4, 0.226, 0.269, 0.265, 0.533, 0.246, 45.6, -0.33
2007, 롯데, 21, 121, 407, 363, 43, 95, 10, 1, 1, 110, 29, 2, 5, 3, 0, 57, 7, 16, 1, 0.262, 0.312, 0.303, 0.615, 0.284, 66.7, 0.71
2008, 롯데, 22, 53, 134, 120, 14, 33, 7, 0, 0, 40, 5, 2, 1, 0, 0, 15, 4, 6, 0, 0.275, 0.320, 0.333, 0.654, 0.298, 74.5, 0.39
2009, 두산, 23, 125, 414, 376, 49, 112, 20, 4, 9, 167, 53, 2, 6, 5, 2, 52, 15, 0, 5, 0.298, 0.350, 0.444, 0.794, 0.354, 102.9, 2.09
2010, 두산, 24, 104, 330, 291, 36, 78, 14, 4, 8, 124, 49, 1, 4, 4, 1, 44, 5, 7, 2, 0.268, 0.334, 0.426, 0.761, 0.337, 97.0, 1.52
2011, 두산, 25, 110, 311, 264, 36, 57, 11, 0, 8, 92, 35, 1, 0, 3, 0, 58, 7, 12, 3, 0.216, 0.298, 0.348, 0.646, 0.293, 70.8, 0.54
2012, 두산, 26, 107, 372, 325, 36, 87, 13, 2, 8, 128, 42, 1, 1, 5, 4, 35, 16, 10, 2, 0.268, 0.337, 0.394, 0.731, 0.331, 105.1, 2.06
2013, 두산, 27, 85, 300, 264, 40, 83, 12, 0, 10, 125, 39, 6, 4, 3, 0, 49, 7, 1, 3, 0.314, 0.385, 0.473, 0.858, 0.395, 136.9, 2.81
2014, 두산, 28, 79, 255, 231, 29, 58, 8, 2, 5, 85, 25, 0, 0, 1, 0, 53, 2, 2, 2, 0.251, 0.308, 0.368, 0.676, 0.306, 70.6, 0.41
2016, 두산, 30, 7, 22, 19, 3, 6, 3, 0, 2, 15, 7, 0, 0, 0, 0, 2, 1, 0, 1, 0.316, 0.364, 0.789, 1.153, 0.457, 179.3, 0.36
2017, 삼성, 31, 121, 459, 411, 55, 109, 20, 1, 18, 185, 62, 2, 0, 4, 2, 80, 4, 4, 6, 0.265, 0.323, 0.450, 0.773, 0.333, 89.2, 1.46
2018, 삼성, 32, 128, 543, 479, 74, 144, 30, 1, 20, 236, 93, 2, 1, 7, 1, 103, 10, 0, 5, 0.301, 0.374, 0.493, 0.867, 0.376, 116.9, 3.35
2019, 삼성, 33, 111, 455, 395, 44, 97, 20, 0, 19, 174, 76, 2, 1, 8, 0, 73, 10, 2, 7, 0.246, 0.327, 0.441, 0.767, 0.346, 104.8, 1.99
2020, 삼성, 34, 121, 467, 403, 46, 108, 17, 0, 13, 164, 74, 0, 1, 2, 1, 82, 7, 1, 12, 0.268, 0.341, 0.407, 0.748, 0.338, 94.3, 
2021, 삼성, 35, 131, 480, 399, 40, 92, 19, 0, 9, 138, 59, 1, 0, 11, 2, 80, 11, 2, 8, 0.231, 0.341, 0.346, 0.687, 0.327, 89.8, 1.22
2022, 삼성, 36, 15, 63, 53, 5, 12, 3, 0, 2, 21, 11, 0, 0, 0, 0, 16, 3, 0, 5, 0.226, 0.270, 0.396, 0.666, 0.294, 81.9, 0.03
