year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1993, 해태, 23, 126, 525, 475, 85, 133, 16, 4, 16, 205, 53, 73, 19, 6, 2, 35, 11, 8, 4, 0.280, 0.331, 0.432, 0.762, 0.350, 127.4, 6.14
1994, 해태, 24, 124, 561, 499, 113, 196, 27, 5, 19, 290, 77, 84, 15, 6, 14, 31, 2, 1, 4, 0.393, 0.452, 0.581, 1.033, 0.462, 198.3, 11.77
1995, 해태, 25, 63, 272, 239, 51, 78, 10, 2, 16, 140, 35, 32, 3, 2, 4, 20, 5, 0, 3, 0.326, 0.397, 0.586, 0.983, 0.432, 181.9, 5.03
1996, 해태, 26, 113, 525, 449, 94, 149, 28, 1, 25, 254, 76, 57, 12, 7, 15, 39, 4, 0, 2, 0.332, 0.425, 0.566, 0.991, 0.440, 184.6, 9.52
1997, 해태, 27, 125, 577, 484, 112, 157, 28, 3, 30, 281, 74, 64, 15, 3, 30, 49, 9, 0, 3, 0.324, 0.428, 0.581, 1.009, 0.431, 173.2, 9.70
2001, 해태/KIA, 31, 45, 214, 188, 45, 64, 14, 1, 11, 113, 37, 7, 5, 1, 0, 16, 5, 2, 3, 0.340, 0.401, 0.601, 1.002, 0.433, 154.8, 2.54
2002, KIA, 32, 123, 546, 485, 93, 142, 25, 2, 18, 225, 59, 35, 5, 13, 5, 63, 7, 4, 1, 0.293, 0.365, 0.464, 0.829, 0.363, 124.1, 5.24
2003, KIA, 33, 132, 595, 524, 110, 165, 43, 1, 20, 270, 61, 50, 10, 7, 5, 58, 8, 1, 4, 0.315, 0.389, 0.515, 0.904, 0.399, 142.8, 7.11
2004, KIA, 34, 133, 577, 493, 100, 128, 29, 0, 17, 208, 52, 42, 7, 17, 1, 50, 9, 12, 2, 0.260, 0.350, 0.422, 0.772, 0.349, 106.2, 4.27
2005, KIA, 35, 118, 495, 430, 69, 134, 25, 2, 6, 181, 36, 28, 5, 11, 2, 49, 8, 7, 0, 0.312, 0.393, 0.421, 0.814, 0.374, 127.8, 4.79
2006, KIA, 36, 93, 379, 339, 41, 82, 18, 1, 1, 105, 21, 10, 7, 5, 2, 43, 3, 11, 0, 0.242, 0.302, 0.310, 0.611, 0.282, 73.0, 0.79
2007, KIA, 37, 84, 282, 253, 23, 44, 6, 0, 1, 53, 18, 3, 2, 2, 0, 25, 6, 10, 4, 0.174, 0.217, 0.209, 0.426, 0.199, 8.0, -2.04
2008, KIA, 38, 110, 362, 317, 38, 90, 19, 4, 1, 120, 38, 9, 3, 1, 0, 26, 11, 9, 3, 0.284, 0.348, 0.379, 0.727, 0.335, 99.9, 1.45
2009, KIA, 39, 123, 449, 385, 63, 105, 21, 1, 6, 146, 40, 11, 1, 5, 1, 50, 9, 12, 6, 0.273, 0.346, 0.379, 0.725, 0.324, 82.0, 0.86
2010, KIA, 40, 97, 289, 265, 36, 65, 16, 1, 4, 95, 29, 2, 2, 3, 0, 33, 5, 6, 0, 0.245, 0.293, 0.358, 0.652, 0.295, 68.3, -0.10
2011, KIA, 41, 97, 273, 235, 27, 65, 15, 1, 3, 91, 24, 3, 2, 1, 1, 35, 6, 12, 3, 0.277, 0.337, 0.387, 0.724, 0.323, 91.7, 0.69
