year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1998, LG, 23, 84, 141, 134, 10, 36, 8, 0, 2, 50, 15, 0, 0, 0, 0, 22, 3, 3, 1, 0.269, 0.283, 0.373, 0.656, 0.287, 74.9, 0.52
1999, LG, 24, 56, 157, 142, 23, 36, 6, 0, 5, 57, 22, 0, 0, 1, 0, 27, 4, 6, 2, 0.254, 0.285, 0.401, 0.686, 0.288, 61.3, 0.33
2000, LG, 25, 108, 258, 227, 19, 51, 5, 1, 5, 73, 33, 2, 1, 4, 0, 59, 6, 6, 5, 0.225, 0.282, 0.322, 0.603, 0.269, 50.4, 0.22
2001, LG, 26, 82, 210, 186, 19, 47, 10, 0, 5, 72, 26, 1, 2, 4, 0, 27, 4, 6, 2, 0.253, 0.309, 0.387, 0.696, 0.309, 72.2, 0.66
2002, LG, 27, 124, 391, 362, 36, 97, 21, 2, 9, 149, 48, 3, 0, 5, 0, 82, 11, 5, 5, 0.268, 0.301, 0.412, 0.712, 0.310, 86.7, 2.17
2003, LG, 28, 132, 456, 428, 43, 110, 20, 2, 19, 191, 58, 0, 1, 8, 0, 67, 17, 1, 4, 0.257, 0.292, 0.446, 0.739, 0.325, 91.1, 2.58
2004, LG, 29, 129, 432, 386, 40, 98, 16, 0, 8, 138, 49, 2, 5, 3, 0, 63, 9, 3, 4, 0.254, 0.319, 0.358, 0.677, 0.314, 82.2, 1.85
2005, LG, 30, 85, 230, 201, 22, 45, 11, 0, 6, 74, 34, 0, 0, 4, 0, 34, 2, 9, 2, 0.224, 0.285, 0.368, 0.653, 0.288, 68.6, 0.70
2006, LG, 31, 112, 362, 326, 37, 80, 18, 0, 10, 128, 38, 0, 1, 0, 5, 30, 11, 6, 2, 0.245, 0.303, 0.393, 0.696, 0.313, 95.1, 2.15
2007, LG, 32, 124, 464, 419, 44, 118, 24, 0, 13, 181, 73, 1, 1, 4, 3, 61, 8, 6, 5, 0.282, 0.332, 0.432, 0.764, 0.345, 110.7, 3.68
2008, LG, 33, 102, 353, 330, 25, 75, 18, 1, 10, 125, 49, 0, 0, 1, 1, 76, 6, 1, 4, 0.227, 0.264, 0.379, 0.643, 0.293, 71.1, 1.17
2009, LG, 34, 95, 300, 266, 35, 57, 10, 1, 14, 111, 36, 0, 2, 1, 1, 53, 10, 3, 2, 0.214, 0.290, 0.417, 0.707, 0.307, 70.9, 0.89
2010, LG, 35, 133, 511, 457, 69, 145, 24, 1, 28, 255, 107, 2, 0, 3, 8, 83, 19, 5, 5, 0.317, 0.374, 0.558, 0.932, 0.401, 140.0, 5.96
2011, LG, 36, 117, 441, 390, 46, 104, 14, 2, 15, 167, 59, 2, 1, 3, 3, 70, 10, 2, 1, 0.267, 0.345, 0.428, 0.773, 0.354, 113.1, 3.72
2012, SK, 37, 104, 307, 284, 32, 77, 13, 0, 9, 117, 40, 0, 1, 2, 1, 60, 5, 3, 2, 0.271, 0.313, 0.412, 0.725, 0.333, 106.4, 2.24
2013, SK, 38, 88, 223, 207, 16, 44, 10, 0, 7, 75, 29, 0, 1, 2, 0, 65, 4, 5, 1, 0.213, 0.244, 0.362, 0.607, 0.270, 51.5, 0.18
2014, SK|한화, 39, 75, 185, 164, 16, 37, 7, 0, 7, 65, 34, 0, 0, 2, 0, 40, 5, 2, 3, 0.226, 0.290, 0.396, 0.686, 0.300, 59.6, 0.28
, 한화, 39, 63, 154, 136, 14, 33, 7, 0, 6, 58, 27, 0, 0, 2, 0, 34, 4, 1, 2, 0.243, 0.314, 0.426, 0.740, 0.326, 74.9, 1.15
, SK, 39, 12, 31, 28, 2, 4, 0, 0, 1, 7, 7, 0, 0, 0, 0, 6, 1, 1, 1, 0.143, 0.167, 0.250, 0.417, 0.176, -19.6, -0.12
2015, 한화, 40, 106, 310, 276, 33, 64, 11, 0, 11, 108, 44, 0, 0, 6, 0, 89, 5, 11, 1, 0.232, 0.288, 0.391, 0.679, 0.293, 58.8, 0.05
2016, 한화, 41, 76, 146, 137, 10, 23, 2, 0, 3, 34, 7, 0, 0, 1, 0, 38, 2, 6, 0, 0.168, 0.186, 0.248, 0.434, 0.188, -12.4, -1.36
2017, 한화, 42, 16, 29, 29, 1, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0.138, 0.138, 0.138, 0.276, 0.128, -46.6, -0.37
