year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1997, OB, 23, 95, 309, 281, 21, 68, 7, 0, 4, 87, 20, 2, 0, 6, 0, 44, 7, 2, 0, 0.242, 0.306, 0.310, 0.616, 0.289, 75.3, 1.23
1998, OB, 24, 88, 271, 253, 12, 68, 14, 1, 2, 90, 22, 1, 1, 0, 0, 44, 10, 3, 1, 0.269, 0.306, 0.356, 0.662, 0.298, 82.4, 1.22
1999, 두산|삼성, 25, 68, 172, 156, 13, 33, 3, 0, 4, 48, 17, 0, 2, 2, 0, 29, 7, 2, 2, 0.212, 0.265, 0.308, 0.572, 0.256, 41.4, -0.17
, 삼성, 25, 33, 106, 99, 8, 26, 2, 0, 3, 37, 15, 0, 1, 2, 0, 17, 2, 0, 1, 0.263, 0.302, 0.374, 0.676, 0.302, 72.0, 0.31
, 두산, 25, 35, 66, 57, 5, 7, 1, 0, 1, 11, 2, 0, 1, 0, 0, 12, 5, 2, 1, 0.123, 0.203, 0.193, 0.396, 0.184, -10.4, -0.49
2000, 삼성, 26, 114, 330, 297, 30, 81, 14, 0, 8, 119, 58, 2, 1, 6, 0, 45, 7, 0, 4, 0.273, 0.333, 0.401, 0.734, 0.332, 94.0, 2.00
2001, 삼성, 27, 89, 349, 314, 54, 96, 25, 2, 7, 146, 57, 2, 3, 7, 2, 37, 4, 0, 5, 0.306, 0.361, 0.465, 0.826, 0.370, 113.7, 2.98
2002, 삼성, 28, 133, 517, 462, 58, 130, 29, 1, 18, 215, 86, 0, 0, 8, 4, 56, 13, 1, 5, 0.281, 0.347, 0.465, 0.812, 0.354, 117.8, 4.59
2003, 삼성, 29, 126, 485, 435, 64, 126, 20, 2, 21, 213, 53, 1, 1, 10, 3, 34, 13, 2, 2, 0.290, 0.356, 0.490, 0.846, 0.373, 124.2, 4.75
2004, 삼성, 30, 129, 491, 439, 60, 122, 20, 0, 24, 214, 71, 0, 0, 12, 2, 51, 16, 2, 4, 0.278, 0.344, 0.487, 0.831, 0.371, 121.0, 4.53
2005, 삼성, 31, 110, 406, 347, 34, 100, 17, 0, 6, 135, 41, 1, 1, 8, 1, 47, 8, 11, 4, 0.288, 0.365, 0.389, 0.754, 0.342, 106.0, 2.96
2006, 삼성, 32, 110, 408, 358, 28, 103, 22, 0, 6, 143, 47, 1, 2, 5, 0, 37, 18, 9, 7, 0.288, 0.343, 0.399, 0.743, 0.339, 113.5, 3.19
2007, 삼성, 33, 122, 427, 362, 28, 89, 12, 0, 5, 116, 39, 0, 1, 7, 2, 38, 9, 5, 4, 0.246, 0.344, 0.320, 0.664, 0.316, 89.9, 2.24
2008, 삼성, 34, 105, 313, 272, 34, 76, 7, 0, 11, 116, 45, 1, 1, 1, 3, 41, 6, 6, 4, 0.279, 0.349, 0.426, 0.775, 0.349, 109.8, 2.44
2009, 삼성, 35, 57, 165, 142, 10, 33, 3, 1, 3, 47, 20, 1, 2, 4, 0, 23, 5, 3, 1, 0.232, 0.321, 0.331, 0.652, 0.300, 67.0, 0.38
2010, 삼성, 36, 100, 320, 259, 36, 68, 8, 0, 10, 106, 28, 0, 0, 2, 2, 57, 7, 13, 1, 0.263, 0.375, 0.409, 0.784, 0.348, 103.8, 2.26
2011, 삼성, 37, 112, 331, 286, 26, 78, 7, 0, 10, 115, 42, 1, 0, 3, 2, 53, 10, 6, 1, 0.273, 0.357, 0.402, 0.759, 0.349, 109.2, 2.57
2012, 삼성, 38, 114, 349, 313, 27, 96, 15, 1, 6, 131, 57, 0, 0, 7, 1, 46, 6, 10, 2, 0.307, 0.354, 0.419, 0.773, 0.352, 119.5, 3.10
2013, 삼성, 39, 101, 204, 181, 22, 49, 9, 0, 6, 76, 36, 0, 0, 5, 0, 28, 5, 4, 2, 0.271, 0.330, 0.420, 0.750, 0.341, 99.3, 1.34
2014, 삼성, 40, 11, 17, 17, 2, 7, 0, 0, 0, 7, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0.412, 0.412, 0.412, 0.824, 0.387, 118.7, 0.12
2015, 삼성, 41, 39, 73, 68, 8, 22, 2, 0, 3, 33, 10, 0, 0, 0, 0, 9, 3, 0, 1, 0.324, 0.356, 0.485, 0.842, 0.372, 114.7, 0.29
