year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, SK, 18, 45, 93, 85, 6, 21, 5, 0, 1, 29, 11, 0, 0, 2, 0, 27, 3, 1, 0, 0.247, 0.304, 0.341, 0.646, 0.299, 76.4, 0.15
2006, SK, 19, 92, 304, 280, 25, 62, 11, 0, 12, 109, 40, 3, 2, 7, 1, 90, 6, 2, 1, 0.221, 0.275, 0.389, 0.664, 0.305, 89.2, 0.39
2007, SK, 20, 122, 462, 408, 49, 109, 19, 1, 16, 178, 66, 8, 7, 11, 1, 84, 3, 9, 1, 0.267, 0.338, 0.436, 0.774, 0.351, 115.1, 3.15
2008, SK, 21, 114, 476, 406, 77, 133, 24, 1, 12, 195, 61, 19, 8, 17, 2, 58, 7, 10, 2, 0.328, 0.410, 0.480, 0.890, 0.405, 148.5, 5.40
2009, SK, 22, 99, 410, 339, 63, 90, 15, 0, 19, 162, 58, 11, 0, 22, 0, 64, 6, 6, 3, 0.265, 0.376, 0.478, 0.854, 0.376, 118.0, 3.30
2010, SK, 23, 123, 493, 400, 84, 120, 31, 1, 20, 213, 80, 12, 4, 20, 0, 72, 7, 16, 8, 0.300, 0.396, 0.533, 0.929, 0.400, 138.8, 5.07
2011, SK, 24, 113, 488, 403, 64, 125, 25, 1, 20, 212, 75, 15, 5, 20, 1, 72, 8, 13, 6, 0.310, 0.402, 0.526, 0.928, 0.411, 152.0, 5.76
2012, SK, 25, 130, 553, 474, 85, 142, 33, 1, 26, 255, 84, 20, 8, 21, 7, 98, 8, 3, 6, 0.300, 0.386, 0.538, 0.923, 0.416, 164.7, 7.29
2013, SK, 26, 120, 525, 434, 75, 137, 18, 0, 28, 239, 83, 24, 8, 24, 9, 109, 10, 1, 2, 0.316, 0.429, 0.551, 0.980, 0.441, 167.3, 7.11
2014, SK, 27, 82, 361, 308, 65, 94, 20, 0, 14, 156, 76, 7, 2, 12, 0, 69, 9, 1, 3, 0.305, 0.397, 0.506, 0.904, 0.401, 131.4, 3.32
2015, SK, 28, 81, 330, 275, 43, 81, 17, 0, 17, 149, 58, 5, 2, 5, 2, 78, 6, 1, 3, 0.295, 0.401, 0.542, 0.943, 0.410, 143.2, 3.23
2016, SK, 29, 141, 606, 500, 106, 144, 24, 1, 40, 290, 106, 1, 2, 23, 2, 126, 6, 0, 6, 0.288, 0.403, 0.580, 0.983, 0.425, 140.7, 5.82
2017, SK, 30, 130, 527, 430, 89, 136, 18, 1, 46, 294, 113, 1, 5, 19, 10, 107, 8, 0, 8, 0.316, 0.427, 0.684, 1.111, 0.456, 167.5, 6.56
2018, SK, 31, 115, 489, 406, 95, 99, 16, 1, 35, 222, 74, 9, 2, 23, 2, 129, 10, 0, 2, 0.244, 0.368, 0.547, 0.915, 0.385, 120.3, 3.52
2019, SK, 32, 141, 606, 503, 86, 147, 27, 0, 29, 261, 99, 3, 2, 26, 6, 92, 4, 0, 8, 0.292, 0.399, 0.519, 0.918, 0.411, 149.3, 6.36
2020, SK, 33, 133, 553, 452, 90, 122, 22, 0, 33, 243, 96, 8, 3, 20, 1, 98, 7, 0, 6, 0.270, 0.392, 0.538, 0.930, 0.409, 138.8, 
2021, SSG, 34, 134, 555, 436, 92, 121, 17, 1, 35, 245, 100, 8, 6, 22, 3, 102, 9, 1, 12, 0.278, 0.410, 0.562, 0.972, 0.431, 155.9, 6.14
2022, SSG, 35, 31, 119, 98, 16, 30, 5, 0, 3, 44, 17, 3, 0, 3, 0, 21, 1, 0, 2, 0.306, 0.412, 0.449, 0.861, 0.399, 156.4, 1.31
