year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2002, 롯데, 19, 2, 3, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.333, 0.333, 0.333, 0.667, 0.306, 84.3, 0.01
2004, 롯데, 21, 10, 20, 19, 3, 4, 0, 0, 2, 10, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0.211, 0.250, 0.526, 0.776, 0.336, 97.9, 0.13
2005, 롯데, 22, 100, 309, 280, 19, 69, 8, 0, 8, 101, 42, 4, 1, 3, 0, 58, 9, 1, 1, 0.246, 0.312, 0.361, 0.672, 0.312, 85.3, 1.56
2006, 롯데|두산, 23, 109, 355, 315, 28, 79, 11, 0, 11, 123, 47, 1, 1, 3, 1, 67, 7, 2, 1, 0.251, 0.329, 0.390, 0.719, 0.335, 111.0, 1.00
, 두산, 23, 88, 314, 277, 25, 73, 9, 0, 10, 112, 43, 1, 1, 3, 1, 59, 7, 2, 1, 0.264, 0.343, 0.404, 0.747, 0.347, 119.9, 1.20
, 롯데, 23, 21, 41, 38, 3, 6, 2, 0, 1, 11, 4, 0, 0, 0, 0, 8, 0, 0, 0, 0.158, 0.220, 0.289, 0.509, 0.240, 41.4, -0.00
2007, 두산, 24, 121, 451, 386, 48, 94, 20, 2, 16, 166, 75, 1, 0, 2, 1, 95, 10, 5, 7, 0.244, 0.330, 0.430, 0.760, 0.344, 110.0, 1.38
2008, 두산, 25, 67, 195, 169, 16, 38, 5, 0, 6, 61, 23, 1, 0, 1, 2, 46, 8, 0, 2, 0.225, 0.318, 0.361, 0.679, 0.317, 87.5, 0.20
2009, 두산, 26, 116, 417, 361, 49, 109, 11, 0, 17, 171, 94, 1, 0, 3, 1, 77, 13, 0, 4, 0.302, 0.386, 0.474, 0.860, 0.385, 123.8, 1.88
2010, 두산, 27, 127, 482, 424, 63, 136, 26, 1, 22, 230, 82, 0, 5, 5, 5, 83, 17, 1, 2, 0.321, 0.397, 0.542, 0.940, 0.415, 149.4, 3.86
2011, 두산, 28, 124, 485, 421, 49, 114, 26, 0, 15, 185, 75, 0, 1, 1, 1, 104, 11, 2, 5, 0.271, 0.354, 0.439, 0.794, 0.365, 120.2, 2.31
2012, 두산, 29, 89, 278, 248, 15, 62, 3, 1, 6, 85, 30, 1, 0, 2, 0, 47, 9, 2, 1, 0.250, 0.323, 0.343, 0.665, 0.316, 94.6, 0.51
2013, 두산, 30, 100, 263, 222, 22, 60, 8, 0, 7, 89, 36, 0, 0, 0, 1, 47, 7, 0, 2, 0.270, 0.376, 0.401, 0.777, 0.367, 117.1, 1.13
2014, 롯데, 31, 121, 460, 371, 54, 106, 13, 0, 23, 188, 90, 1, 0, 2, 3, 88, 14, 0, 6, 0.286, 0.411, 0.507, 0.918, 0.405, 128.0, 2.44
2015, 롯데, 32, 144, 618, 507, 78, 155, 18, 1, 31, 268, 109, 0, 0, 1, 4, 134, 17, 1, 1, 0.306, 0.428, 0.529, 0.957, 0.422, 148.0, 3.04
2016, 롯데, 33, 116, 396, 325, 49, 85, 10, 0, 19, 152, 70, 0, 0, 3, 2, 102, 14, 0, 4, 0.262, 0.384, 0.468, 0.852, 0.381, 113.9, 0.70
2017, 롯데, 34, 125, 464, 409, 43, 119, 15, 0, 14, 176, 82, 0, 0, 1, 0, 89, 24, 0, 5, 0.291, 0.364, 0.430, 0.795, 0.356, 104.4, 0.80
2018, NC, 35, 93, 179, 153, 7, 39, 3, 0, 4, 54, 24, 0, 0, 0, 0, 41, 6, 0, 2, 0.255, 0.352, 0.353, 0.705, 0.324, 84.5, 0.09
