year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 한화, 19, 79, 239, 209, 28, 43, 10, 0, 9, 80, 28, 2, 0, 2, 0, 79, 5, 1, 2, 0.206, 0.294, 0.383, 0.677, 0.309, 79.6, 0.11
2005, 한화, 20, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, , 0.01
2008, 한화, 23, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -122.1, -0.09
2009, 한화, 24, 28, 65, 55, 6, 11, 3, 0, 2, 20, 8, 0, 0, 2, 0, 24, 0, 0, 1, 0.200, 0.308, 0.364, 0.671, 0.307, 71.5, -0.00
2010, 한화, 25, 129, 524, 464, 66, 121, 22, 0, 32, 239, 92, 5, 4, 9, 1, 131, 15, 2, 2, 0.261, 0.339, 0.515, 0.854, 0.375, 121.9, 3.11
2011, 한화, 26, 127, 511, 434, 63, 120, 11, 1, 19, 190, 85, 3, 5, 13, 7, 107, 9, 0, 3, 0.277, 0.380, 0.438, 0.817, 0.378, 128.5, 3.35
2012, 한화, 27, 120, 471, 395, 59, 98, 26, 0, 17, 175, 55, 6, 3, 6, 3, 109, 11, 0, 4, 0.248, 0.361, 0.443, 0.804, 0.373, 133.3, 3.44
2013, 한화, 28, 106, 422, 367, 39, 110, 27, 0, 8, 161, 53, 0, 0, 3, 1, 86, 18, 1, 1, 0.300, 0.387, 0.439, 0.826, 0.386, 129.7, 2.76
2014, 한화, 29, 99, 328, 299, 32, 78, 16, 0, 12, 130, 45, 1, 2, 3, 0, 79, 8, 0, 3, 0.261, 0.317, 0.435, 0.752, 0.333, 79.3, 0.27
2015, 한화, 30, 109, 410, 333, 55, 97, 17, 0, 18, 168, 64, 0, 3, 4, 6, 101, 9, 5, 3, 0.291, 0.410, 0.505, 0.914, 0.397, 128.2, 2.38
2016, 한화, 31, 28, 85, 70, 4, 23, 2, 0, 1, 28, 9, 0, 0, 2, 0, 16, 1, 2, 0, 0.329, 0.434, 0.400, 0.834, 0.389, 118.2, 0.31
2017, 한화, 32, 89, 289, 258, 29, 79, 21, 0, 13, 139, 50, 0, 2, 10, 0, 77, 3, 1, 1, 0.306, 0.375, 0.539, 0.914, 0.395, 130.2, 1.66
2018, 한화, 33, 57, 154, 136, 14, 29, 3, 0, 7, 53, 13, 0, 1, 3, 0, 53, 5, 0, 0, 0.213, 0.305, 0.390, 0.695, 0.307, 69.2, -0.39
2019, 한화, 34, 45, 129, 117, 10, 27, 6, 0, 6, 51, 19, 0, 0, 2, 0, 28, 3, 0, 1, 0.231, 0.295, 0.436, 0.731, 0.330, 100.0, 0.34
2020, 한화, 35, 84, 240, 214, 23, 50, 5, 0, 8, 79, 30, 0, 0, 5, 0, 59, 11, 0, 3, 0.234, 0.304, 0.369, 0.673, 0.309, 78.1, 
