year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2012, 두산, 22, 92, 173, 154, 28, 41, 8, 0, 0, 49, 14, 9, 8, 5, 0, 17, 7, 6, 1, 0.266, 0.317, 0.318, 0.636, 0.295, 79.9, 0.37
2013, 두산, 23, 75, 276, 228, 35, 68, 9, 1, 1, 82, 25, 14, 4, 9, 0, 14, 7, 7, 5, 0.298, 0.387, 0.360, 0.746, 0.351, 106.3, 1.82
2014, 두산, 24, 105, 233, 198, 33, 49, 8, 1, 0, 59, 10, 6, 4, 6, 0, 21, 7, 6, 2, 0.247, 0.335, 0.298, 0.633, 0.298, 62.6, 0.18
2015, 두산, 25, 117, 453, 404, 64, 128, 20, 2, 1, 155, 41, 8, 3, 7, 0, 42, 11, 8, 3, 0.317, 0.373, 0.384, 0.757, 0.346, 98.9, 2.88
2016, 두산, 26, 144, 609, 538, 96, 154, 24, 4, 7, 207, 81, 6, 6, 14, 1, 58, 14, 6, 2, 0.286, 0.360, 0.385, 0.745, 0.344, 90.5, 1.91
2017, 두산, 27, 130, 422, 369, 50, 95, 22, 1, 3, 128, 40, 8, 4, 10, 0, 48, 15, 12, 2, 0.257, 0.327, 0.347, 0.674, 0.302, 71.8, 0.38
2018, 두산, 28, 133, 577, 516, 85, 167, 30, 5, 10, 237, 79, 20, 4, 16, 0, 52, 15, 5, 8, 0.324, 0.376, 0.459, 0.835, 0.366, 113.4, 3.56
2019, 두산, 29, 133, 540, 475, 71, 137, 25, 1, 4, 176, 60, 11, 5, 17, 2, 36, 16, 3, 11, 0.288, 0.350, 0.371, 0.721, 0.334, 102.7, 2.47
2020, 두산, 30, 117, 487, 437, 70, 145, 25, 1, 7, 193, 58, 14, 6, 5, 2, 28, 10, 3, 7, 0.332, 0.382, 0.442, 0.824, 0.373, 122.7, 
2021, 두산, 31, 136, 518, 468, 61, 130, 24, 1, 5, 171, 59, 5, 7, 8, 1, 35, 21, 3, 3, 0.278, 0.338, 0.365, 0.703, 0.332, 96.8, 2.07
2022, 두산, 32, 33, 137, 119, 17, 38, 10, 0, 0, 48, 16, 4, 0, 3, 0, 10, 4, 1, 2, 0.319, 0.390, 0.403, 0.793, 0.369, 138.5, 1.24
