year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1982, 삼성, 26, 66, 242, 206, 41, 60, 11, 2, 3, 84, 22, 27, 3, 1, 1, 27, 3, 3, 0, 0.291, 0.389, 0.408, 0.797, 0.366, 122.7, 2.12
1983, 삼성, 27, 63, 121, 112, 7, 25, 5, 0, 1, 33, 8, 3, 1, 0, 0, 11, 1, 5, 0, 0.223, 0.250, 0.295, 0.545, 0.245, 50.0, -0.24
1984, 삼성, 28, 52, 148, 139, 13, 33, 4, 1, 0, 39, 13, 1, 3, 0, 1, 18, 1, 3, 3, 0.237, 0.248, 0.281, 0.529, 0.238, 42.4, -0.53
1985, 삼성, 29, 103, 345, 307, 64, 101, 14, 7, 3, 138, 22, 26, 15, 4, 0, 44, 3, 9, 0, 0.329, 0.387, 0.450, 0.836, 0.380, 138.4, 3.09
1986, 삼성, 30, 99, 419, 376, 60, 110, 17, 5, 4, 149, 33, 26, 18, 4, 2, 56, 3, 9, 3, 0.293, 0.344, 0.396, 0.740, 0.341, 119.8, 2.69
1987, 삼성, 31, 94, 345, 319, 52, 104, 17, 7, 3, 144, 39, 24, 5, 2, 1, 45, 4, 1, 2, 0.326, 0.369, 0.451, 0.821, 0.383, 138.7, 3.44
1988, 삼성, 32, 65, 209, 192, 29, 56, 6, 3, 2, 74, 24, 10, 8, 0, 0, 25, 3, 5, 1, 0.292, 0.328, 0.385, 0.714, 0.325, 98.3, 1.05
1989, 롯데, 33, 96, 372, 330, 34, 93, 13, 4, 3, 123, 28, 14, 4, 0, 1, 58, 6, 5, 1, 0.282, 0.352, 0.373, 0.724, 0.343, 110.0, 2.09
1990, 롯데, 34, 56, 164, 142, 19, 35, 3, 1, 0, 40, 10, 4, 3, 0, 0, 23, 1, 4, 0, 0.246, 0.331, 0.282, 0.613, 0.297, 77.0, 0.44
1991, 삼성, 35, 102, 354, 304, 46, 71, 5, 7, 2, 96, 25, 19, 7, 3, 0, 39, 5, 10, 1, 0.234, 0.320, 0.316, 0.636, 0.297, 78.4, 1.30
1992, 삼성, 36, 37, 89, 80, 10, 17, 2, 0, 0, 19, 1, 2, 1, 0, 0, 12, 1, 1, 0, 0.213, 0.284, 0.238, 0.522, 0.254, 45.0, -0.12
