year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, 두산, 22, 111, 392, 353, 47, 91, 14, 1, 16, 155, 63, 3, 1, 3, 0, 61, 10, 10, 4, 0.258, 0.304, 0.439, 0.743, 0.314, 78.8, 1.72
2000, 두산, 23, 127, 484, 438, 55, 127, 13, 2, 10, 174, 59, 10, 3, 3, 2, 50, 12, 7, 4, 0.290, 0.340, 0.397, 0.737, 0.328, 91.0, 2.96
2001, 두산, 24, 122, 452, 408, 50, 109, 18, 1, 8, 153, 48, 9, 4, 6, 3, 53, 13, 8, 4, 0.267, 0.318, 0.375, 0.693, 0.311, 73.5, 1.72
2002, 두산, 25, 127, 484, 432, 51, 125, 17, 0, 18, 196, 70, 5, 3, 5, 1, 63, 17, 7, 3, 0.289, 0.350, 0.454, 0.804, 0.351, 115.9, 4.18
2003, 두산, 26, 73, 263, 241, 20, 70, 12, 0, 7, 103, 36, 2, 2, 0, 0, 44, 8, 2, 5, 0.290, 0.326, 0.427, 0.753, 0.334, 97.4, 1.65
2004, 두산, 27, 133, 552, 501, 62, 165, 27, 2, 14, 238, 86, 10, 7, 10, 2, 70, 8, 3, 2, 0.329, 0.384, 0.475, 0.859, 0.391, 135.7, 6.17
2005, 두산, 28, 115, 433, 394, 41, 107, 17, 0, 11, 157, 74, 2, 2, 3, 0, 57, 17, 4, 3, 0.272, 0.324, 0.398, 0.723, 0.329, 97.2, 2.68
2006, 두산, 29, 119, 424, 390, 36, 112, 16, 0, 10, 158, 56, 1, 1, 4, 1, 49, 10, 2, 2, 0.287, 0.337, 0.405, 0.742, 0.344, 117.8, 3.65
2007, 두산, 30, 80, 274, 231, 21, 62, 11, 0, 5, 88, 39, 0, 2, 8, 3, 29, 10, 3, 6, 0.268, 0.354, 0.381, 0.735, 0.338, 105.7, 1.87
2008, 두산, 31, 114, 460, 423, 45, 140, 19, 2, 8, 187, 63, 8, 1, 4, 5, 35, 16, 3, 5, 0.331, 0.370, 0.442, 0.812, 0.372, 125.3, 2.38
2009, 롯데, 32, 119, 487, 426, 71, 158, 33, 0, 12, 227, 64, 9, 3, 5, 1, 55, 15, 0, 7, 0.371, 0.435, 0.533, 0.968, 0.432, 155.4, 4.19
2010, 롯데, 33, 111, 498, 431, 88, 151, 28, 1, 26, 259, 116, 2, 2, 7, 3, 49, 18, 1, 5, 0.350, 0.427, 0.601, 1.028, 0.451, 171.9, 5.15
2011, 롯데, 34, 132, 535, 474, 70, 145, 24, 2, 6, 191, 67, 2, 5, 3, 0, 80, 22, 0, 5, 0.306, 0.376, 0.403, 0.779, 0.368, 121.6, 2.13
2012, 롯데, 35, 113, 443, 390, 48, 114, 20, 0, 15, 179, 74, 4, 5, 2, 3, 83, 10, 1, 3, 0.292, 0.369, 0.459, 0.828, 0.382, 140.8, 2.71
2013, 두산, 36, 127, 538, 469, 61, 140, 21, 0, 15, 206, 72, 5, 3, 6, 0, 93, 15, 3, 3, 0.299, 0.379, 0.439, 0.819, 0.381, 126.9, 2.60
2014, 두산, 37, 124, 521, 447, 63, 141, 19, 1, 20, 222, 82, 5, 3, 4, 0, 79, 13, 5, 1, 0.315, 0.405, 0.497, 0.902, 0.401, 137.7, 3.31
2015, 두산, 38, 93, 352, 301, 39, 79, 12, 0, 7, 112, 46, 8, 1, 5, 1, 59, 13, 4, 0, 0.262, 0.362, 0.372, 0.734, 0.338, 97.7, 0.09
2016, 두산, 39, 17, 45, 40, 4, 10, 2, 0, 0, 12, 5, 0, 1, 0, 0, 9, 3, 0, 0, 0.250, 0.333, 0.300, 0.633, 0.307, 65.7, -0.15
