year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
2007, 현대, 20, 63, 171, 160, 19, 48, 6, 0, 2, 60, 12, 2, 2, 1, 0, 33, 1, 4, 1, 0.300, 0.323, 0.375, 0.698, 0.320, 92.7, 0.85
2008, 히어로즈, 21, 117, 333, 306, 27, 73, 10, 1, 1, 88, 18, 10, 7, 2, 0, 56, 8, 7, 2, 0.239, 0.279, 0.288, 0.567, 0.266, 54.1, 0.14
2009, 히어로즈, 22, 133, 608, 536, 86, 152, 27, 5, 18, 243, 63, 30, 15, 3, 0, 100, 11, 6, 8, 0.284, 0.349, 0.453, 0.802, 0.354, 102.5, 3.50
2010, 넥센|롯데, 23, 94, 353, 306, 41, 69, 14, 3, 6, 107, 40, 18, 7, 4, 0, 73, 10, 6, 4, 0.225, 0.304, 0.350, 0.653, 0.297, 70.1, 0.73
, 롯데, 23, 42, 154, 137, 15, 31, 9, 3, 4, 58, 19, 6, 2, 2, 0, 40, 4, 5, 0, 0.226, 0.289, 0.423, 0.712, 0.308, 77.9, 0.47
, 넥센, 23, 52, 199, 169, 26, 38, 5, 0, 2, 49, 21, 12, 5, 2, 0, 33, 6, 1, 4, 0.225, 0.315, 0.290, 0.605, 0.288, 63.9, 0.21
2011, 롯데, 24, 117, 458, 398, 62, 115, 18, 4, 12, 177, 68, 12, 6, 9, 1, 78, 9, 3, 8, 0.289, 0.360, 0.445, 0.805, 0.368, 122.2, 3.76
2012, 롯데, 25, 133, 504, 448, 42, 122, 19, 1, 4, 155, 51, 26, 8, 5, 3, 81, 10, 11, 2, 0.272, 0.335, 0.346, 0.681, 0.317, 94.7, 2.61
2013, 롯데, 26, 128, 559, 489, 70, 134, 29, 3, 7, 190, 56, 22, 11, 10, 3, 78, 14, 7, 4, 0.274, 0.350, 0.389, 0.738, 0.342, 100.2, 3.04
2014, 롯데, 27, 128, 550, 486, 66, 156, 33, 3, 12, 231, 76, 17, 10, 3, 0, 86, 8, 4, 4, 0.321, 0.388, 0.475, 0.864, 0.386, 117.4, 3.98
2015, 롯데, 28, 144, 596, 534, 95, 155, 41, 2, 26, 278, 97, 11, 10, 4, 1, 122, 14, 4, 6, 0.290, 0.350, 0.521, 0.870, 0.375, 115.4, 4.01
2016, 롯데, 29, 127, 559, 498, 97, 167, 26, 5, 27, 284, 113, 25, 10, 4, 5, 66, 10, 0, 8, 0.335, 0.394, 0.570, 0.964, 0.417, 137.3, 5.55
2018, KT, 31, 142, 588, 530, 76, 157, 41, 3, 25, 279, 88, 14, 7, 4, 1, 120, 5, 2, 3, 0.296, 0.358, 0.526, 0.885, 0.376, 115.5, 3.40
2019, KT, 32, 124, 507, 448, 78, 127, 16, 3, 20, 209, 67, 10, 7, 2, 2, 71, 10, 0, 5, 0.283, 0.357, 0.467, 0.824, 0.373, 128.8, 3.98
2020, KT, 33, 134, 600, 541, 108, 169, 35, 5, 21, 277, 97, 11, 6, 5, 0, 98, 12, 3, 4, 0.312, 0.370, 0.512, 0.882, 0.391, 129.6, 
2021, KT, 34, 117, 507, 453, 74, 132, 16, 2, 10, 182, 56, 11, 4, 3, 1, 92, 11, 1, 4, 0.291, 0.358, 0.402, 0.760, 0.356, 108.4, 2.93
2022, KT, 35, 34, 147, 129, 17, 39, 9, 1, 2, 56, 17, 3, 1, 1, 1, 25, 1, 1, 0, 0.302, 0.384, 0.434, 0.818, 0.376, 142.1, 1.40
