,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 쌍방울,22,124,508,427,65,112,15,0,27,208,92,7,4,4,5,93,9,0,5,0.262,0.37,0.487,0.857,0.387,138.4,3.75
1,1,1, 쌍방울,23,123,525,398,86,120,28,3,31,247,96,5,7,8,18,84,11,0,5,0.302,0.461,0.621,1.082,0.463,183.7,6.63
2,2,2, 쌍방울,24,96,395,317,36,76,17,2,9,124,43,11,5,1,8,57,7,0,4,0.24,0.38,0.391,0.7709999999999999,0.36,135.1,2.78
3,3,3, 쌍방울,25,108,454,376,70,119,20,4,25,222,79,9,10,2,13,70,10,0,2,0.316,0.43,0.59,1.02,0.449,191.2,6.07
4,4,4, 쌍방울,26,116,482,402,48,129,34,3,12,205,72,12,10,1,15,44,8,0,7,0.321,0.419,0.51,0.929,0.409,166.9,5.02
5,5,5, 쌍방울,27,91,366,310,47,92,17,3,12,151,53,3,6,0,20,48,9,0,2,0.297,0.399,0.487,0.8859999999999999,0.387,149.3,3.0
6,6,6, 쌍방울,28,111,478,390,95,134,30,3,26,248,79,10,7,2,14,54,11,0,2,0.344,0.46,0.636,1.096,0.472,202.6,7.3
7,7,7, 쌍방울,29,126,541,434,84,134,28,4,31,263,90,10,5,0,15,79,11,0,3,0.309,0.44,0.606,1.046,0.445,186.5,7.28
8,8,8, 삼성,30,130,560,468,82,137,33,2,28,258,88,5,4,6,6,95,9,1,3,0.293,0.403,0.551,0.954,0.407,140.5,3.83
9,9,9, 삼성,31,101,395,333,69,103,24,1,26,207,80,5,1,2,7,56,6,0,3,0.309,0.41,0.622,1.032,0.436,162.1,3.85
10,10,10, 삼성,32,44,102,85,5,15,2,1,0,19,9,0,0,1,1,17,1,0,0,0.17600000000000002,0.314,0.224,0.537,0.271,48.8,-0.35
11,11,11, SK,33,101,337,284,32,73,15,1,9,117,46,2,1,0,0,57,6,3,3,0.257,0.359,0.412,0.7709999999999999,0.344,110.9,1.35
12,12,12, SK,34,93,265,236,32,69,7,0,3,85,18,2,2,0,0,30,4,1,1,0.292,0.364,0.36,0.7240000000000001,0.338,99.9,0.69
13,13,13, SK,35,126,465,403,60,129,24,0,10,183,67,2,4,0,6,55,10,4,1,0.32,0.404,0.454,0.858,0.389,134.7,2.63
14,14,14, SK,36,54,130,112,5,23,4,0,0,27,11,0,0,0,1,23,4,2,1,0.205,0.297,0.241,0.5379999999999999,0.258,47.1,-0.52
