,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, OB,22,125,510,457,69,121,21,1,24,216,89,4,3,8,2,87,14,0,16,0.265,0.31,0.473,0.7829999999999999,0.338,111.8,3.37
1,1,1, 두산,23,114,455,399,62,128,25,3,22,225,84,2,1,10,1,53,9,1,4,0.321,0.394,0.564,0.958,0.41,144.7,4.94
2,2,2, 두산,24,127,539,469,78,159,29,1,31,283,106,5,2,13,1,65,17,0,6,0.339,0.414,0.603,1.017,0.439,168.2,7.28
3,3,3, 두산,25,103,421,364,49,118,18,0,18,190,62,2,2,4,5,57,10,0,6,0.324,0.401,0.522,0.923,0.409,140.4,2.76
4,4,4, 두산,26,120,487,415,63,132,21,0,26,231,79,1,1,13,2,61,8,0,7,0.318,0.405,0.557,0.961,0.415,162.7,6.13
5,5,5, 두산,27,118,504,401,61,137,23,2,23,233,89,3,2,11,8,53,15,0,13,0.342,0.45,0.581,1.031,0.446,177.9,5.61
6,6,6, 두산,28,124,517,430,72,123,19,1,19,201,76,4,6,16,3,67,14,0,2,0.28600000000000003,0.402,0.467,0.87,0.398,141.2,5.05
7,7,7, 두산,29,94,338,268,51,81,13,1,10,126,50,1,2,12,9,38,10,0,1,0.302,0.444,0.47,0.914,0.415,157.6,3.94
8,8,8, 두산,30,43,164,140,19,35,7,0,4,54,16,0,0,1,2,17,7,0,0,0.25,0.36,0.386,0.746,0.349,121.3,0.64
9,9,9, 두산,31,119,481,382,68,123,24,0,19,204,78,11,2,14,11,55,10,0,2,0.322,0.457,0.534,0.991,0.449,184.7,7.42
10,10,10, 두산,32,109,451,363,55,112,12,2,18,182,104,2,2,12,5,54,11,0,13,0.309,0.415,0.501,0.916,0.415,154.9,5.18
11,11,11, 두산,33,105,426,354,63,125,28,0,19,210,86,3,1,8,10,55,17,0,3,0.353,0.455,0.593,1.0490000000000002,0.454,170.9,5.76
12,12,12, 두산,34,110,470,387,60,114,22,0,20,196,67,0,1,10,4,45,15,1,5,0.295,0.407,0.506,0.914,0.408,144.5,3.21
13,13,13, 두산,35,120,483,406,57,116,24,1,17,193,75,6,1,8,5,54,18,0,3,0.28600000000000003,0.393,0.475,0.8690000000000001,0.398,143.3,3.44
14,14,14, 두산,36,66,245,223,18,65,5,0,2,76,27,3,1,2,0,24,7,0,4,0.29100000000000004,0.339,0.341,0.68,0.325,100.3,1.25
15,15,15, 두산,37,28,101,82,6,21,2,0,1,26,9,1,0,5,0,9,4,0,4,0.256,0.35600000000000004,0.317,0.674,0.328,90.3,0.39
