,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, 롯데,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0, , 0.01
1,1,1.0, 롯데,20,20,28,25,6,5,1,0,0,6,1,0,0,2,0,5,1,1,0,0.2,0.259,0.24,0.499,0.238, 32.5, -0.08
2,2,2.0, 롯데,21,114,389,327,51,81,17,0,4,110,37,5,5,4,0,72,8,8,2,0.248,0.349,0.336,0.6859999999999999,0.318, 78.3, 0.86
3,3,3.0, 롯데|넥센,22,80,223,180,26,36,4,0,2,46,12,1,0,11,1,41,6,13,1,0.2,0.31,0.256,0.565,0.263, 47.2, -0.08
4,4,4.0, 롯데,22,43,105,86,17,22,3,0,2,31,8,1,0,5,1,16,3,5,0,0.256,0.36,0.36,0.721,0.32299999999999995, 87.5, 0.49
5,5,5.0, 넥센,22,37,118,94,9,14,1,0,0,15,4,0,0,6,0,25,3,8,1,0.149,0.264,0.16,0.423,0.21, 11.0, -0.58
6,6,6.0, 넥센,23,124,373,314,37,74,10,1,4,98,23,12,3,9,0,51,4,22,2,0.236,0.311,0.312,0.623,0.28300000000000003, 64.0, 0.56
7,7,7.0, 넥센,24,71,254,219,24,62,9,0,4,83,22,7,2,6,0,58,2,8,4,0.28300000000000003,0.34600000000000003,0.379,0.725,0.332, 105.7, 1.57
8,8,8.0, 넥센,25,128,523,458,60,129,24,2,15,202,72,7,7,16,1,84,11,3,4,0.282,0.36,0.441,0.8009999999999999,0.369, 118.5, 3.72
9,9,9.0, 넥센,26,116,486,438,60,128,29,2,12,197,77,3,1,10,1,80,10,5,3,0.292,0.349,0.45,0.799,0.354, 94.3, 2.04
10,10,10.0, 넥센,27,118,489,445,60,135,24,0,16,207,71,1,1,8,1,62,15,2,3,0.303,0.35700000000000004,0.465,0.823,0.365, 108.2, 2.44
11,11,11.0, 넥센,28,141,579,510,76,156,39,5,17,256,90,6,3,3,3,89,15,1,12,0.306,0.3670000000000001,0.502,0.8690000000000001,0.38, 111.6, 3.37
12,12,12.0, 넥센,29,133,530,472,59,133,26,1,15,206,78,0,1,7,2,93,15,0,8,0.282,0.345,0.436,0.782,0.345, 98.7, 2.26
13,13,13.0, 넥센,30,128,465,413,46,117,24,0,10,171,45,1,0,6,3,80,6,1,5,0.28300000000000003,0.35100000000000003,0.414,0.765,0.338, 93.4, 1.75
14,14,14.0, LG,31,107,401,361,44,94,16,0,8,134,50,2,1,4,0,75,12,5,1,0.26,0.32299999999999995,0.371,0.6940000000000001,0.32, 94.8, 1.68
15,15,15.0, LG,32,87,333,297,29,79,20,0,5,114,47,2,1,4,2,66,8,4,4,0.266,0.325,0.384,0.7090000000000001,0.319, 87.8, 
16,16,16.0, LG,33,121,426,360,35,80,22,0,8,126,39,3,3,8,2,73,7,11,5,0.222,0.313,0.35,0.6629999999999999,0.305, 80.7, 0.83
17,17,17.0, LG,34,23,51,45,3,7,1,0,0,8,4,0,1,0,0,6,1,1,0,0.156,0.24,0.17800000000000002,0.418,0.207, 24.9, -0.30
