,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, 해태/KIA,21,16,20,20,2,3,0,0,1,6,4,0,0,0,0,6,0,0,0,0.15,0.15,0.3,0.45,0.192,-3.2,-0.14
1,1,1.0, KIA|LG,22,31,42,32,7,10,0,1,1,15,6,0,0,3,1,18,0,0,0,0.313,0.476,0.469,0.945,0.424,166.7,0.57
2,2,2.0, KIA,22,26,34,25,7,8,0,1,1,13,4,0,0,3,1,13,0,0,0,0.32,0.5,0.52,1.02,0.449,184.2,0.54
3,3,3.0, LG,22,5,8,7,0,2,0,0,0,2,2,0,0,0,0,5,0,0,0,0.28600000000000003,0.375,0.28600000000000003,0.6609999999999999,0.318,92.3,0.03
4,4,4.0, LG,23,55,209,182,24,49,9,1,7,81,28,7,1,7,0,50,1,1,3,0.269,0.34600000000000003,0.445,0.7909999999999999,0.353,111.3,1.56
5,5,5.0, LG,24,100,316,277,37,67,10,2,9,108,35,7,5,7,2,77,11,3,1,0.242,0.326,0.39,0.716,0.326,90.7,1.28
6,6,6.0, LG,27,121,434,378,44,89,27,0,7,137,41,6,0,10,0,85,12,10,3,0.235,0.311,0.362,0.674,0.31,85.6,1.66
7,7,7.0, LG,28,75,243,214,28,52,9,2,8,89,18,2,3,3,0,55,8,5,2,0.243,0.311,0.416,0.727,0.328,95.6,1.07
8,8,8.0, LG|KIA,29,121,496,448,77,141,30,2,36,283,127,7,5,6,1,103,11,0,1,0.315,0.379,0.632,1.011,0.431,155.4,5.87
9,9,9.0, LG,29,2,8,7,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0.14300000000000002,0.25,0.14300000000000002,0.393,0.208,3.7,-0.03
10,10,10.0, KIA,29,119,488,441,76,140,30,2,36,282,126,6,5,6,1,102,11,0,1,0.317,0.381,0.639,1.021,0.434,157.9,5.9
11,11,11.0, KIA,30,79,330,288,44,62,5,1,21,132,53,3,1,8,1,85,10,0,1,0.215,0.312,0.458,0.7709999999999999,0.342,100.2,1.74
12,12,12.0, KIA,31,101,405,357,38,91,15,0,14,148,64,8,0,9,1,83,12,0,2,0.255,0.338,0.415,0.753,0.35,110.2,2.08
13,13,13.0, KIA,32,32,126,116,17,30,9,0,4,51,17,1,2,3,0,26,3,1,0,0.259,0.312,0.44,0.752,0.34600000000000003,115.9,0.61
14,14,14.0, KIA|SK,33,113,360,322,39,76,17,0,7,114,37,8,1,4,1,84,17,1,4,0.236,0.304,0.354,0.6579999999999999,0.308,76.7,0.38
15,15,15.0, SK,33,89,274,250,28,60,13,0,5,88,27,5,0,3,0,63,13,1,4,0.24,0.289,0.35200000000000004,0.6409999999999999,0.299,70.7,0.1
16,16,16.0, KIA,33,24,86,72,11,16,4,0,2,26,10,3,1,1,0,21,4,0,0,0.222,0.349,0.361,0.71,0.341,99.4,0.31
17,17,17.0, SK,34,42,87,80,8,21,3,1,5,41,20,1,1,1,0,22,2,0,1,0.263,0.31,0.513,0.823,0.35100000000000003,96.5,0.27
18,18,18.0, kt,35,134,539,475,71,133,20,0,27,234,88,4,5,8,4,115,21,0,6,0.28,0.354,0.493,0.847,0.369,113.2,1.85
19,19,19.0, kt,36,62,246,222,29,50,5,0,11,88,32,0,1,2,0,48,10,0,2,0.225,0.293,0.396,0.6890000000000001,0.308,65.7,-0.56
