,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 해태,24,80,340,318,48,97,17,4,13,161,69,10,5,8,0,55,7,0,5,0.305,0.335,0.506,0.8420000000000001,0.374,128.2,2.23
1,1,1, 해태,25,96,382,339,59,111,20,0,7,152,40,13,7,4,2,38,7,0,1,0.327,0.401,0.448,0.8490000000000001,0.394,155.0,3.65
2,2,2, 해태,26,98,410,365,48,94,16,2,12,150,41,7,5,4,2,59,6,0,2,0.258,0.334,0.411,0.745,0.34600000000000003,119.0,2.09
3,3,3, 해태,27,105,455,400,66,133,29,1,22,230,75,8,5,3,2,37,6,4,6,0.333,0.395,0.575,0.97,0.433,176.6,5.43
4,4,4, 해태,28,104,449,404,64,113,16,0,18,183,57,10,10,6,1,45,8,5,2,0.28,0.34,0.453,0.7929999999999999,0.368,140.0,3.2
5,5,5, 해태,29,81,342,306,43,96,22,0,15,163,46,3,1,3,5,29,5,1,2,0.314,0.378,0.5329999999999999,0.911,0.416,163.0,3.49
6,6,6, 해태,30,104,457,404,72,131,12,0,30,233,89,16,5,11,3,52,4,4,7,0.324,0.382,0.5770000000000001,0.959,0.424,166.6,5.14
7,7,7, 해태,31,118,513,414,93,116,18,0,26,212,84,32,8,9,11,62,7,0,6,0.28,0.407,0.512,0.92,0.421,164.4,5.86
8,8,8, 해태,32,89,385,331,61,93,17,2,11,147,49,14,4,6,0,53,4,3,6,0.281,0.361,0.444,0.805,0.373,128.5,2.71
9,9,9, 해태,33,112,482,411,69,121,25,5,23,225,83,16,9,15,2,70,7,0,5,0.294,0.388,0.547,0.935,0.42,161.8,5.13
10,10,10, 해태,34,117,458,410,62,107,18,0,15,170,59,6,2,7,1,59,9,2,2,0.261,0.331,0.415,0.746,0.34,101.7,1.44
11,11,11, 해태,35,107,403,362,45,99,23,0,6,140,52,4,2,6,0,59,12,4,4,0.273,0.331,0.387,0.718,0.335,117.0,1.85
12,12,12, 해태,36,45,171,157,17,37,10,0,1,50,14,4,3,3,0,31,0,1,1,0.236,0.28800000000000003,0.318,0.607,0.285,76.5,-0.02
13,13,13, 해태,37,82,255,229,15,41,4,0,8,69,23,0,1,3,2,47,9,5,3,0.179,0.236,0.301,0.537,0.24,50.1,-0.93
