,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 쌍방울,19,10,8,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.25,0.0,0.25,0.18, ,0.06
1,1,1, 쌍방울,20,31,52,49,5,11,1,0,3,21,6,0,0,0,0,13,2,0,0,0.224,0.269,0.429,0.698,0.311, 82.8,0.24
2,2,2, 쌍방울,21,26,57,48,1,10,2,0,0,12,2,0,0,2,0,14,0,4,0,0.208,0.28300000000000003,0.25,0.5329999999999999,0.245, 51.0,0.06
3,3,3, 쌍방울,22,102,274,240,31,57,8,2,14,111,31,0,2,5,0,75,3,4,0,0.238,0.322,0.463,0.785,0.353, 123.8,2.62
4,4,4, 쌍방울,23,121,429,361,48,82,13,2,19,156,46,5,2,8,4,100,5,4,0,0.227,0.344,0.4320000000000001,0.7759999999999999,0.349, 125.1,4.29
5,5,5, 쌍방울,24,126,480,367,58,80,19,2,15,148,74,2,5,19,3,113,6,24,10,0.218,0.349,0.403,0.752,0.329, 108.0,3.66
6,6,6, 쌍방울,25,82,314,239,46,67,15,1,16,132,48,2,3,8,1,59,7,5,4,0.28,0.43,0.552,0.983,0.426, 170.9,4.75
7,7,7, 현대,26,123,458,404,54,101,25,1,19,185,66,3,3,6,0,103,10,7,2,0.25,0.324,0.458,0.782,0.341, 113.4,3.84
8,8,8, 현대,27,124,467,367,67,81,16,1,23,168,67,2,2,8,2,95,9,18,2,0.221,0.359,0.458,0.816,0.344, 99.2,3.14
9,9,9, 현대,28,130,517,408,83,115,16,0,40,251,95,7,4,12,7,112,7,6,4,0.282,0.419,0.615,1.034,0.4320000000000001, 162.6,7.47
10,10,10, 현대,29,130,528,421,66,108,13,1,24,195,81,21,8,7,2,121,9,6,3,0.257,0.395,0.463,0.858,0.385, 123.7,5.32
11,11,11, 현대,30,119,398,330,42,67,10,1,19,136,42,6,4,6,4,108,6,12,3,0.203,0.311,0.412,0.723,0.307, 85.1,2.02
12,12,12, SK,31,122,428,336,49,84,16,2,15,149,60,6,6,9,2,93,8,21,3,0.25,0.374,0.443,0.8170000000000001,0.35, 109.0,3.35
13,13,13, SK,32,132,526,410,94,121,19,1,34,244,79,2,5,14,3,126,9,6,2,0.295,0.44,0.595,1.036,0.451, 177.9,8.36
14,14,14, SK,33,114,425,347,43,85,17,0,11,135,44,1,4,7,7,100,6,8,6,0.245,0.35700000000000004,0.389,0.746,0.335, 101.2,2.75
15,15,15, SK,34,111,380,324,38,82,13,0,13,134,51,2,2,9,5,91,5,6,4,0.253,0.342,0.414,0.7559999999999999,0.342, 116.7,3.24
16,16,16, SK,35,119,437,352,60,87,21,1,15,155,60,6,3,10,4,68,9,11,9,0.247,0.35700000000000004,0.44,0.797,0.354, 117.5,3.94
17,17,17, SK,36,101,370,304,44,83,17,0,7,121,36,6,4,6,0,64,8,7,5,0.273,0.377,0.398,0.775,0.36, 117.5,3.23
18,18,18, SK,37,65,246,198,32,53,10,0,12,99,38,3,1,2,2,39,5,11,2,0.268,0.375,0.5,0.875,0.366, 110.6,2.0
19,19,19, SK,38,129,472,381,51,100,20,0,14,162,67,1,1,27,2,88,11,15,3,0.262,0.379,0.425,0.804,0.359, 111.8,3.78
20,20,20, SK,39,10,16,15,0,2,0,0,0,2,1,0,0,0,0,6,2,0,0,0.133,0.188,0.133,0.321,0.165, -17.0,-0.12
21,21,21, SK,40,8,23,20,0,2,0,0,0,2,0,0,0,0,0,6,2,2,0,0.1,0.14300000000000002,0.1,0.243,0.114, -47.9,-0.25
22,22,22, SK,41,8,21,19,1,2,0,0,1,5,1,0,0,1,0,5,1,1,0,0.105,0.15,0.263,0.413,0.181, -9.1,-0.13
