,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 두산,23,59,154,141,16,31,4,0,1,38,6,2,0,1,0,23,10,6,0,0.22,0.257,0.27,0.526,0.237,27.5,-0.36
1,1,1, 두산,24,122,395,347,45,80,20,2,2,110,39,0,2,6,1,56,9,6,6,0.231,0.298,0.317,0.615,0.284,61.5,0.52
2,2,2, 두산,25,126,480,416,59,115,18,5,4,155,60,2,5,4,0,59,7,6,6,0.276,0.35200000000000004,0.373,0.725,0.334,101.1,2.9
3,3,3, 두산,26,126,462,404,29,108,16,4,2,138,34,2,3,10,1,48,5,11,2,0.267,0.339,0.342,0.6809999999999999,0.316,97.6,2.59
4,4,4, 두산,29,121,476,412,56,119,22,3,11,180,59,6,3,12,1,67,5,7,3,0.289,0.369,0.4370000000000001,0.8059999999999999,0.36,106.5,3.32
5,5,5, 두산,30,128,499,433,51,118,19,1,8,163,62,0,2,7,2,64,12,10,3,0.273,0.35,0.376,0.726,0.331,93.0,2.42
6,6,6, 두산,31,92,351,298,39,84,10,1,4,108,28,2,1,9,0,44,9,7,0,0.282,0.378,0.362,0.74,0.35100000000000003,110.5,2.53
7,7,7, 두산,32,86,312,272,24,67,11,1,5,95,31,4,2,4,0,40,12,11,4,0.246,0.306,0.349,0.655,0.299,82.4,1.2
8,8,8, 두산,33,93,268,234,35,59,14,1,1,78,26,3,1,6,0,38,5,6,1,0.252,0.328,0.333,0.662,0.311,78.9,1.0
9,9,9, NC,34,97,361,307,39,90,20,1,5,127,39,2,1,7,0,53,10,5,8,0.293,0.368,0.414,0.782,0.35200000000000004,96.1,1.9
10,10,10, NC,35,140,508,440,56,108,24,2,13,175,58,3,2,14,0,66,16,13,5,0.245,0.319,0.398,0.7170000000000001,0.315,78.6,1.2
11,11,11, NC,36,110,403,341,36,104,21,2,5,144,39,1,0,13,0,48,13,10,1,0.305,0.394,0.422,0.8170000000000001,0.371,110.3,2.73
12,12,12, NC,37,124,391,349,32,122,17,1,5,156,45,1,0,8,1,44,5,13,5,0.35,0.386,0.447,0.833,0.362,111.0,2.56
13,13,13, NC,38,67,150,128,12,24,4,0,2,34,14,2,0,5,0,20,3,1,1,0.188,0.295,0.266,0.561,0.266,45.2,-0.16
14,14,14, NC,39,68,149,135,17,36,4,1,2,48,10,1,2,5,0,23,2,4,0,0.267,0.317,0.35600000000000004,0.6729999999999999,0.308,80.6,0.37
