,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, LG,23,73,193,174,17,41,4,1,2,53,18,13,8,4,1,22,2,2,1,0.236,0.298,0.305,0.603,0.284,68.2,0.29
1,1,1.0, LG,24,121,493,451,72,137,23,2,20,224,59,20,4,7,4,33,13,9,2,0.304,0.34700000000000003,0.4970000000000001,0.8440000000000001,0.369,122.3,4.31
2,2,2.0, LG,25,105,433,387,51,119,21,2,4,156,49,19,6,8,0,30,12,2,4,0.307,0.369,0.403,0.772,0.363,139.0,4.52
3,3,3.0, LG,27,57,198,169,25,44,5,3,1,58,19,8,2,4,0,16,5,5,3,0.26,0.337,0.343,0.68,0.31,97.8,1.16
4,4,4.0, LG,28,109,414,349,45,91,18,1,7,132,38,17,6,22,1,49,11,18,0,0.261,0.349,0.378,0.727,0.327,107.3,2.74
5,5,5.0, LG,29,70,258,220,38,58,14,0,5,87,25,7,3,13,1,29,6,6,5,0.264,0.337,0.395,0.733,0.326,102.0,1.48
6,6,6.0, 해태,30,80,298,264,33,76,11,1,2,95,9,7,4,6,0,33,12,15,0,0.28800000000000003,0.336,0.36,0.696,0.304,87.7,1.12
7,7,7.0, 해태|쌍방울,31,86,278,252,31,52,8,0,1,63,18,6,5,7,0,36,4,8,0,0.206,0.259,0.25,0.509,0.233,25.5,-1.15
8,8,8.0, 해태,31,8,11,11,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.091,0.091,0.091,0.182,0.084,-69.6,-0.17
9,9,9.0, 쌍방울,31,78,267,241,29,51,8,0,1,62,18,6,4,7,0,35,3,8,0,0.212,0.266,0.257,0.524,0.24,29.6,-0.93
10,10,10.0, LG,32,11,22,21,2,4,1,0,0,5,0,0,0,1,0,5,2,0,0,0.19,0.227,0.238,0.465,0.219,15.4,-0.11
