,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, MBC,26,57,166,142,23,36,5,0,9,68,29,2,4,0,3,29,2,0,3,0.254,0.343,0.479,0.8220000000000001,0.359,118.2,1.38
1,1,1, MBC,27,65,160,140,8,33,3,0,1,39,10,2,2,0,0,26,1,2,1,0.236,0.317,0.279,0.595,0.285,75.8,0.62
2,2,2, 해태,28,41,144,118,13,31,9,0,5,55,21,2,0,1,0,26,0,1,1,0.263,0.385,0.466,0.851,0.391,150.9,1.91
3,3,3, 해태,29,63,167,151,20,41,6,0,8,71,18,0,1,0,0,28,4,2,0,0.272,0.333,0.47,0.804,0.365,128.5,1.66
4,4,4, 빙그레,30,79,291,256,24,61,5,0,7,87,23,2,3,3,1,57,7,1,2,0.238,0.321,0.34,0.6609999999999999,0.316,101.6,1.95
5,5,5, 빙그레,31,97,360,328,30,101,15,1,12,154,59,1,6,1,1,36,17,4,4,0.308,0.35100000000000003,0.47,0.821,0.377,133.7,3.59
6,6,6, 빙그레,32,103,350,297,42,78,14,2,15,141,55,3,2,0,5,49,10,4,3,0.263,0.358,0.475,0.833,0.371,129.3,3.63
7,7,7, 빙그레,33,115,429,370,46,104,15,0,21,182,85,0,4,1,8,71,6,2,6,0.281,0.363,0.4920000000000001,0.855,0.389,140.2,4.76
8,8,8, 빙그레,34,110,341,293,29,75,12,0,14,129,54,3,0,4,4,64,2,1,7,0.256,0.338,0.44,0.779,0.35600000000000004,116.1,3.1
9,9,9, 빙그레,35,57,100,94,3,16,1,0,0,17,5,0,0,0,0,25,1,1,0,0.17,0.212,0.181,0.393,0.192,6.6,-0.44
