,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,22,75,220,194,21,48,7,2,1,62,19,4,2,1,0,46,7,6,4,0.247,0.29600000000000004,0.32,0.615,0.279,73.6,0.52
1,1,1, 삼성,23,123,486,420,66,115,25,3,13,185,72,13,9,6,2,84,5,14,6,0.274,0.336,0.44,0.7759999999999999,0.335,107.6,3.07
2,2,2, 삼성,24,123,405,357,36,84,17,1,11,136,55,9,5,9,2,62,17,15,5,0.235,0.287,0.381,0.6679999999999999,0.28600000000000003,75.6,0.91
3,3,3, 삼성,25,105,453,398,75,124,15,0,18,193,53,16,8,24,0,80,7,6,1,0.312,0.385,0.485,0.87,0.381,123.3,3.71
4,4,4, 삼성,26,102,426,374,60,108,25,1,12,171,38,5,4,9,0,71,5,7,3,0.289,0.358,0.457,0.815,0.358,111.4,2.81
5,5,5, 삼성,27,105,333,279,34,69,19,0,3,97,30,2,4,14,1,55,4,14,3,0.247,0.332,0.348,0.68,0.306,72.0,0.48
6,6,6, SK,28,75,174,153,19,43,11,1,2,62,14,0,1,6,0,37,4,4,2,0.281,0.341,0.405,0.746,0.328,99.4,0.86
7,7,7, SK,29,119,425,372,55,101,16,0,12,153,51,9,3,11,0,56,3,12,3,0.272,0.337,0.411,0.748,0.33,94.8,2.13
8,8,8, SK,30,105,421,362,51,107,23,0,9,157,47,2,4,11,0,63,9,13,3,0.29600000000000004,0.368,0.434,0.8009999999999999,0.359,113.3,2.71
9,9,9, SK,31,126,502,427,49,122,16,1,11,173,63,7,8,10,1,75,7,14,7,0.28600000000000003,0.361,0.405,0.7659999999999999,0.344,107.7,2.87
10,10,10, SK,32,84,237,205,19,43,10,0,3,62,21,0,5,3,0,32,5,8,3,0.21,0.28,0.302,0.5820000000000001,0.268,61.8,-0.06
11,11,11, SK,33,116,381,333,30,75,16,1,4,105,50,3,3,12,1,62,6,12,2,0.225,0.295,0.315,0.611,0.282,64.8,0.35
12,12,12, SK,34,33,89,80,7,16,1,0,1,20,6,0,0,2,0,21,0,1,0,0.2,0.273,0.25,0.523,0.255,44.6,-0.13
13,13,13, SK,35,31,46,37,3,7,2,0,0,9,3,0,0,0,1,10,3,2,0,0.189,0.318,0.243,0.561,0.258,37.1,-0.25
