,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR,Name,Unnamed: 0.1
0,0, 삼성,24,123,468,414,74,124,23,8,10,193,30,22,7,1,1,68,5,11,0,0.3,0.365,0.466,0.8320000000000001,0.36200000000000004,127.5,4.5,강동우,0.0
1,1, 삼성,26,13,28,20,3,2,0,0,0,2,0,1,0,0,0,5,0,0,0,0.1,0.35700000000000004,0.1,0.457,0.273,55.5,0.02,강동우,1.0
2,2, 삼성,27,125,403,347,54,87,15,2,6,124,42,6,1,3,0,44,9,2,1,0.251,0.348,0.35700000000000004,0.705,0.331,87.6,1.68,강동우,2.0
3,3, 삼성,28,130,521,466,75,134,23,3,9,190,49,11,6,1,0,76,9,7,1,0.28800000000000003,0.35200000000000004,0.408,0.76,0.33799999999999997,106.7,3.29,강동우,3.0
4,4, 삼성,29,130,520,443,61,118,19,4,9,172,57,8,4,5,0,51,17,15,4,0.266,0.349,0.38799999999999996,0.737,0.32899999999999996,93.9,2.47,강동우,4.0
5,5, 삼성,30,132,497,438,59,129,22,1,3,162,49,9,5,2,4,45,13,7,1,0.295,0.3670000000000001,0.37,0.737,0.341,101.0,1.86,강동우,5.0
6,6, 삼성,31,125,429,367,61,88,15,3,6,127,38,9,1,3,2,68,8,13,3,0.24,0.322,0.34600000000000003,0.6679999999999999,0.302,79.0,0.75,강동우,6.0
7,7, 두산,32,118,456,393,36,98,12,2,2,120,34,8,6,2,2,54,9,9,4,0.249,0.33,0.305,0.635,0.298,84.1,0.7,강동우,7.0
8,8, 두산,33,25,48,43,1,7,1,1,1,13,6,0,1,1,0,4,1,0,0,0.163,0.25,0.302,0.552,0.262,51.4,-0.14,강동우,8.0
9,9, KIA,34,45,52,40,8,4,1,0,0,5,5,0,1,1,0,6,0,2,1,0.1,0.26,0.125,0.385,0.207,12.4,-0.39,강동우,9.0
10,10, 한화,35,128,585,506,88,153,30,2,10,217,48,27,3,1,0,58,6,4,5,0.302,0.384,0.429,0.813,0.369,112.5,4.55,강동우,10.0
11,11, 한화,36,98,363,309,45,78,8,1,4,100,22,14,6,1,0,33,10,6,3,0.252,0.34299999999999997,0.324,0.6659999999999999,0.313,80.8,0.51,강동우,11.0
12,12, 한화,37,133,599,518,83,149,13,3,13,207,51,17,15,2,1,71,9,12,4,0.28800000000000003,0.364,0.4,0.763,0.35100000000000003,110.8,3.77,강동우,12.0
13,13, 한화,38,76,290,257,35,65,16,1,2,89,22,1,2,0,0,21,5,5,2,0.253,0.319,0.34600000000000003,0.6659999999999999,0.311,91.2,0.66,강동우,13.0
14,14, 한화,39,26,60,52,4,11,1,1,0,14,3,0,0,0,0,7,1,0,1,0.212,0.3,0.26899999999999996,0.569,0.27899999999999997,57.4,-0.09,강동우,14.0
0,0, 롯데,19,3,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0.0,0.0,-133.3, -0.13,강민호,0.0
1,1, 롯데,20,104,230,214,20,52,11,2,2,73,18,1,4,2,0,56,7,9,0,0.243,0.267,0.341,0.608,0.26899999999999996,54.6, 0.21,강민호,1.0
2,2, 롯데,21,126,460,410,40,103,20,0,9,150,53,4,1,11,2,78,5,14,2,0.251,0.307,0.366,0.6729999999999999,0.305,89.4, 2.63,강민호,2.0
3,3, 롯데,22,125,474,413,48,112,20,0,14,174,68,1,4,4,1,88,10,17,3,0.271,0.335,0.42100000000000004,0.7559999999999999,0.337,105.2, 3.32,강민호,3.0
4,4, 롯데,23,122,501,435,51,127,25,1,19,211,82,2,4,7,1,77,13,0,10,0.292,0.365,0.485,0.85,0.387,136.5, 5.37,강민호,4.0
5,5, 롯데,24,83,301,262,36,68,13,0,9,108,30,0,0,3,1,44,9,0,3,0.26,0.34600000000000003,0.41200000000000003,0.758,0.342,94.8, 1.80,강민호,5.0
6,6, 롯데,25,117,465,410,66,125,19,1,23,215,72,2,7,8,1,65,16,0,5,0.305,0.376,0.524,0.9009999999999999,0.4,138.5, 5.04,강민호,6.0
7,7, 롯데,26,124,506,450,63,130,25,2,19,216,66,4,6,8,2,81,18,0,1,0.289,0.366,0.48,0.846,0.38799999999999996,135.2, 5.38,강민호,7.0
8,8, 롯데,27,119,454,400,41,109,21,0,19,187,66,0,1,8,2,97,9,0,2,0.273,0.355,0.46799999999999997,0.8220000000000001,0.38,139.2, 5.00,강민호,8.0
9,9, 롯데,28,105,405,327,48,77,13,0,11,123,57,4,1,11,3,87,5,1,6,0.235,0.366,0.376,0.743,0.35100000000000003,106.0, 3.09,강민호,9.0
10,10, 롯데,29,98,360,310,37,71,14,2,16,137,40,1,2,13,3,92,6,0,4,0.22899999999999998,0.325,0.442,0.767,0.336,82.7, 1.45,강민호,10.0
11,11, 롯데,30,123,456,380,63,118,18,1,35,243,86,0,0,14,2,112,14,0,2,0.311,0.42100000000000004,0.639,1.061,0.451,164.9, 5.23,강민호,11.0
12,12, 롯데,31,116,460,381,65,123,26,0,20,209,72,4,0,10,4,91,7,0,3,0.32299999999999995,0.433,0.5489999999999999,0.981,0.434,147.7, 5.00,강민호,12.0
